index,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
CD_Blog_LemmaSum,0.9576760727629636,,,,,,,
Freq_Blog_LemmaSum,0.9553223780000127,,,,,,,
CD_SUBTLEXUK_LemmaSum,0.9525946879373329,,,,,,,
CD_News_LemmaSum,0.9441686327764997,,,,,,,
Freq_SUBTLEXUK_Zipf_LemmaSum,0.9430070625664432,,,,,,,
Freq_SUBTLEXUK_LemmaSum,0.943007062566443,,,,,,,
Freq_News_LemmaSum,0.9420427285274493,,,,,,,
CD_Twitter_LemmaSum,0.920232567159811,,,,,,,
Freq_Twitter_LemmaSum,0.9189459951219832,,,,,,,
CD_SUBTLEXUS_LemmaSum,0.9042427245304112,,,,,,,
Freq_SUBTLEXUS_LemmaSum,0.897343250180659,,,,,,,
Freq_SUBTLEXUS_Zipf_LemmaSum,0.8973432501806589,,,,,,,
Freq_HAL_LemmaSum,0.8972184468560467,,,,,,,
Freq_KF_LemmaSum,0.8607660974875937,,,,,,,
Cumfreq_TASA,0.6115908438587542,,,,,,,
Sem_N,0.5775495034102954,,,,,,,
Nsenses_WordNet,0.49126143469046946,,,,,,,
Sem_N_D,0.46254082210756,,,,,,,
Sem_Diversity,0.4210946486885,,,,,,,
AoA_Kuper,-0.5240124159757856,,,,,-0.4213534353362733,,
AoA_LWV,-0.5311747727631548,,,,,-0.41958317038988946,,
OLD20,,0.8840648823452795,,,,,,
PLD20,,0.8774383483299297,,,,,,
NLett,,0.8131833403266633,,,,,,
OUP,,0.8064531384847501,,,,,,
NPhon,,0.7987717389149128,,,,,,
PUP,,0.7420761102705044,,,,,,
NSyll,,0.7289958008137598,,,,,,
NMorph,,0.5481157912279377,,,,,,
Consistency_Token_FB_C,,0.407193474559152,,,,,,
Consistency_Type_FB_C,,0.40507912126997053,,,,,,
BigramF_Avg_C_Log,,-0.6252844353085227,,,,,,
Phonographic_N,,-0.6826707222995061,,,,,,
OLD20F,,-0.7069737495055056,,,,,,
PLD20F,,-0.7373685544756752,,,,,,
Orth_N,,-0.7391931037301308,,,,,,
Orth_Spread,,-0.7422343763866996,,,,,,
Phon_N,,-0.7525806824505998,,,,,,
Phon_Spread,,-0.7526295859200303,,,,,,
UnigramF_Avg_C_Log,,-0.8554852832269876,,,,,,
Consistency_Token_FB,,,0.9680323302205891,,,,,
Consistency_Type_FB,,,0.9660403774686924,,,,,
Consistency_Token_FB_ON,,,0.8112945156114444,,,,,
Consistency_Type_FB_ON,,,0.8112396586417258,,,,,
Consistency_Token_FB_N,,,0.8104573815101516,,,,,
Consistency_Type_FB_N,,,0.8099689467873427,,,,,
Consistency_Token_FB_R,,,0.7682207371493723,,,,,
Consistency_Type_FB_R,,,0.7645171056791493,,,,,
Consistency_Token_FF,,,,0.9480596894484496,,,,
Consistency_Type_FF,,,,0.9447031288385321,,,,
Consistency_Token_FF_ON,,,,0.8889198451283697,,,,
Consistency_Type_FF_ON,,,,0.8888426911403626,,,,
Consistency_Type_FF_N,,,,0.8463299017160634,,,,
Consistency_Token_FF_N,,,,0.8462724870607791,,,,
Consistency_Token_FF_R,,,,0.4845659940450107,,,,
Consistency_Type_FF_R,,,,0.48109944273460153,,,,
UniphonP_St_C,,,,,0.8198112777617005,,,
UniphonP_Un_C,,,,,0.8186847628893767,,,
UniphonP_Un,,,,,0.8052864245469499,,,
UniphonP_St,,,,,0.7989475445552863,,,
BiphonP_St,,,,,0.7572920103977435,,,
BiphonP_Un,,,,,0.7336325334286231,,,
TriphonP_Un,,,,,0.7201895108784638,,,
TriphonP_St,,,,,0.7108574196351728,,,
TrigramF_Avg_U_Log,,,,,0.46051762169306004,,,
TrigramF_Avg_C_Log,,,,,0.4527478837778524,,,
BigramF_Avg_U_Log,,,,,0.4319593138405685,,,
Conc_Brys,,,,,,0.8017870018601277,,
Visual_Lanc,,,,,,0.7588881850311373,,
Haptic_Lanc,,,,,,0.7489736324679594,,
Mink_Perceptual_Lanc,,,,,,0.640799316673282,,
Hand_Arm_Lanc,,,,,,0.5847684423158851,,
Interoceptive_Lanc,,,,,,-0.42630477369360703,,0.4456499704604671
Sem_N_D_Taxonomic_N10,,,,,,,0.9234843927155472,
Sem_N_D_Taxonomic_N25,,,,,,,0.9219934982786498,
Sem_N_D_Taxonomic_N50,,,,,,,0.9198025371066944,
Sem_N_D_Taxonomic_N3,,,,,,,0.9197381436142874,
Assoc_Freq_Token123,,,,,,,,0.799950197566994
Assoc_Freq_Type,,,,,,,,0.7841304599850695
Assoc_Freq_Type123,,,,,,,,0.7794005010348947
Assoc_Freq_Token,,,,,,,,0.7791511456095822
Mink_Action_Lanc,,,,,,,,0.48217028005900436
Mouth_Throat_Lanc,,,,,,,,0.4750473041310094
Freqtraj_TASA,,,,,,,,
Fam_Brys,,,,,,,,
Prevalence_Brys,,,,,,,,
UnigramF_Avg_U_Log,,,,,,,,
Nmeanings_Websters,,,,,,,,
Head_Lanc,,,,,,,,
Auditory_Lanc,,,,,,,,
Gustatory_Lanc,,,,,,,,
Olfactory_Lanc,,,,,,,,
Torso_Lanc,,,,,,,,
Foot_Leg_Lanc,,,,,,,,
Valence_NRC,,,,,,,,
Arousal_NRC,,,,,,,,
