index,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
CD_Blog_LemmaSum,0.958,0.008,0.004,0.0,0.003,-0.019,0.022,0.013
Freq_Blog_LemmaSum,0.955,0.005,0.002,-0.004,0.004,-0.008,0.021,0.016
CD_SUBTLEXUK_LemmaSum,0.953,-0.015,0.007,0.018,-0.004,-0.012,0.016,-0.01
CD_News_LemmaSum,0.944,0.059,0.01,-0.015,0.012,-0.017,0.099,-0.079
Freq_SUBTLEXUK_Zipf_LemmaSum,0.943,-0.022,-0.004,0.003,-0.005,0.026,-0.001,0.006
Freq_SUBTLEXUK_LemmaSum,0.943,-0.022,-0.004,0.003,-0.005,0.026,-0.001,0.006
Freq_News_LemmaSum,0.942,0.056,0.009,-0.016,0.012,-0.01,0.097,-0.077
CD_Twitter_LemmaSum,0.92,-0.035,0.007,0.013,-0.027,-0.003,-0.053,0.061
Freq_Twitter_LemmaSum,0.919,-0.037,0.007,0.013,-0.027,-0.002,-0.054,0.062
CD_SUBTLEXUS_LemmaSum,0.904,-0.071,-0.012,0.016,-0.011,-0.001,-0.074,0.069
Freq_SUBTLEXUS_LemmaSum,0.897,-0.083,-0.019,0.003,-0.011,0.011,-0.087,0.079
Freq_SUBTLEXUS_Zipf_LemmaSum,0.897,-0.083,-0.019,0.003,-0.011,0.011,-0.087,0.079
Freq_HAL_LemmaSum,0.897,0.021,0.005,-0.043,0.035,-0.067,0.097,-0.057
Freq_KF_LemmaSum,0.861,0.005,-0.01,-0.018,0.037,-0.086,0.079,-0.03
Cumfreq_TASA,0.612,-0.096,-0.033,-0.024,-0.002,0.111,0.133,0.191
Sem_N,0.578,0.071,-0.031,-0.047,0.002,-0.043,0.367,0.002
Nsenses_WordNet,0.491,-0.184,0.103,0.022,0.023,0.062,0.084,-0.093
Sem_N_D,0.463,0.151,-0.042,-0.09,-0.016,0.023,0.357,-0.115
Sem_Diversity,0.421,0.013,0.032,0.036,0.012,-0.32,0.204,-0.043
AoA_Kuper,-0.524,0.108,0.001,-0.074,0.054,-0.421,0.178,-0.156
AoA_LWV,-0.531,0.136,-0.005,-0.082,0.057,-0.42,0.19,-0.157
OLD20,-0.059,0.884,-0.086,0.001,-0.092,0.001,0.02,-0.04
PLD20,-0.067,0.877,0.07,-0.092,-0.075,-0.013,0.034,-0.029
NLett,-0.005,0.813,0.032,0.025,0.167,-0.055,-0.092,-0.04
OUP,0.028,0.806,-0.015,-0.001,0.123,-0.001,0.089,-0.055
NPhon,-0.047,0.799,0.143,-0.056,0.194,-0.054,-0.03,-0.031
PUP,-0.03,0.742,0.106,-0.045,0.231,-0.017,0.129,-0.021
NSyll,-0.058,0.729,0.025,-0.092,0.229,-0.09,0.013,0.021
NMorph,0.107,0.548,0.045,0.026,0.07,-0.031,-0.275,-0.143
Consistency_Token_FB_C,-0.03,0.407,0.158,0.146,0.294,-0.013,0.001,0.083
Consistency_Type_FB_C,-0.035,0.405,0.156,0.149,0.293,-0.012,0.003,0.085
BigramF_Avg_C_Log,0.134,-0.625,0.091,-0.067,0.325,-0.138,-0.127,0.059
Phonographic_N,0.034,-0.683,0.198,0.059,0.057,0.063,0.021,-0.023
OLD20F,0.016,-0.707,0.017,-0.133,0.001,-0.057,0.123,0.108
PLD20F,0.093,-0.737,-0.081,-0.092,0.015,-0.08,0.097,0.053
Orth_N,0.065,-0.739,0.165,-0.058,0.048,0.067,0.013,-0.008
Orth_Spread,0.05,-0.742,0.144,0.011,0.059,0.041,-0.027,0.014
Phon_N,0.076,-0.753,-0.097,0.031,0.034,0.048,0.036,-0.019
Phon_Spread,0.061,-0.753,-0.038,0.137,0.084,0.054,-0.045,0.001
UnigramF_Avg_C_Log,0.05,-0.855,-0.028,-0.065,0.013,0.005,0.01,0.028
Consistency_Token_FB,-0.019,0.08,0.968,0.037,0.029,-0.018,0.016,0.032
Consistency_Type_FB,-0.03,0.077,0.966,0.049,0.03,-0.011,0.014,0.035
Consistency_Token_FB_ON,-0.015,-0.045,0.811,-0.021,-0.15,-0.043,0.062,0.006
Consistency_Type_FB_ON,-0.027,-0.052,0.811,-0.013,-0.146,-0.037,0.059,0.009
Consistency_Token_FB_N,0.02,-0.098,0.81,-0.082,0.036,0.043,-0.026,-0.065
Consistency_Type_FB_N,0.019,-0.098,0.81,-0.07,0.034,0.046,-0.027,-0.066
Consistency_Token_FB_R,0.046,0.091,0.768,0.046,0.02,0.077,-0.06,-0.016
Consistency_Type_FB_R,0.036,0.092,0.765,0.055,0.02,0.084,-0.061,-0.012
Consistency_Token_FF,-0.006,-0.141,0.08,0.948,-0.035,-0.007,0.016,-0.022
Consistency_Type_FF,-0.017,-0.145,0.089,0.945,-0.035,-0.001,0.012,-0.019
Consistency_Token_FF_ON,0.022,0.116,-0.088,0.889,-0.01,-0.025,0.021,0.012
Consistency_Type_FF_ON,0.006,0.105,-0.08,0.889,-0.005,-0.016,0.016,0.015
Consistency_Type_FF_N,-0.008,0.116,-0.022,0.846,0.141,-0.004,-0.001,-0.003
Consistency_Token_FF_N,-0.006,0.12,-0.031,0.846,0.144,-0.009,0.0,-0.002
Consistency_Token_FF_R,0.027,-0.34,0.138,0.485,-0.122,0.016,-0.003,-0.083
Consistency_Type_FF_R,0.021,-0.341,0.145,0.481,-0.125,0.018,-0.006,-0.08
UniphonP_St_C,0.056,-0.107,-0.006,0.022,0.82,0.055,-0.111,-0.048
UniphonP_Un_C,0.054,-0.018,-0.019,0.036,0.819,0.035,-0.099,-0.044
UniphonP_Un,-0.077,-0.065,-0.106,0.078,0.805,0.096,0.062,-0.012
UniphonP_St,-0.081,-0.117,-0.078,0.026,0.799,0.124,0.055,-0.025
BiphonP_St,-0.03,0.126,0.017,-0.035,0.757,-0.081,0.038,0.013
BiphonP_Un,-0.044,0.114,-0.025,0.088,0.734,-0.066,0.042,0.04
TriphonP_Un,-0.026,0.145,0.028,0.028,0.72,-0.051,0.106,0.031
TriphonP_St,-0.012,0.145,0.036,-0.023,0.711,-0.06,0.099,0.017
TrigramF_Avg_U_Log,0.163,0.12,0.182,-0.115,0.461,-0.19,-0.137,0.046
TrigramF_Avg_C_Log,0.252,-0.236,0.137,-0.042,0.453,-0.195,-0.132,0.099
BigramF_Avg_U_Log,0.075,0.031,0.147,-0.167,0.432,-0.162,-0.099,0.037
Conc_Brys,-0.092,-0.116,-0.005,-0.02,-0.018,0.802,-0.011,-0.04
Visual_Lanc,0.017,0.088,0.009,-0.051,0.008,0.759,0.094,-0.048
Haptic_Lanc,-0.021,-0.047,0.07,0.014,0.051,0.749,-0.003,0.041
Mink_Perceptual_Lanc,-0.013,0.128,-0.015,0.008,-0.017,0.641,-0.098,0.357
Hand_Arm_Lanc,0.111,0.08,0.105,0.032,0.025,0.585,0.03,0.043
Interoceptive_Lanc,0.028,0.105,0.017,0.062,-0.055,-0.426,-0.158,0.446
Sem_N_D_Taxonomic_N10,0.033,-0.012,0.005,0.016,0.006,0.005,0.923,0.056
Sem_N_D_Taxonomic_N25,0.031,-0.011,0.003,0.015,0.004,0.007,0.922,0.063
