1,2,3,4,5,6,7,8
homogeneous/homogeneous,may/may,twos/two,cough/cough,ooze/ooze,witting/wit,coughing/cough,modes/mode
heredity/heredity,mane/mane,knew/know,one/one,joy/joy,divining/divine,kidding/kid,enzymes/enzyme
bluish/bluish,hay/hay,one/one,hour/hour,vow/vow,theoretical/theoretical,sneezing/sneeze,wholesale/wholesale
weariness/weariness,cane/cane,rhyme/rhyme,coughs/cough,oak/oak,was/be,laughs/laugh,enzyme/enzyme
linoleum/linoleum,say/say,suite/suite,was/be,egg/egg,eminent/eminent,licking/lick,centuries/century
warlike/warlike,mare/mare,heir/heir,fuse/fuse,jaw/jaw,wits/wit,stinking/stink,municipal/municipal
consequent/consequent,tore/tear,heirs/heir,coup/coup,ego/ego,were/be,cries/cry,transferred/transfer
fibrous/fibrous,line/line,ceased/cease,trough/trough,odd/odd,storied/story,giggling/giggle,predecessors/predecessor
drawbridge/drawbridge,pay/pay,suites/suite,regime/regime,eyeball/eyeball,imperative/imperative,snoring/snore,parallels/parallel
drawbridges/drawbridge,way/way,ones/one,ones/one,voyage/voyage,are/be,sighing/sigh,sets/set
obstinate/obstinate,HAYS/hay,rhymed/rhyme,skis/ski,odds/odds,fating/fate,wrongs/wrong,arcs/arc
bibliographies/bibliography,bore/bear,scene/scene,regimes/regime,urge/urge,contention/contention,fussing/fuss,tariffs/tariff
alertness/alertness,cone/cone,cease/cease,lose/lose,joys/joy,ardent/ardent,hooting/hoot,pegs/peg
vestibules/vestibule,sane/sane,bouquet/bouquet,bouquet/bouquet,eggs/egg,witted/wit,pies/pie,platforms/platform
topography/topography,pale/pale,circus/circus,iron/iron,ache/ache,exempting/exempt,humming/hum,pensions/pension
vestibule/vestibule,sill/sill,circuit/circuit,hours/hour,ape/ape,arbitrary/arbitrary,sandwiches/sandwich,census/census
curvature/curvature,lone/lone,bouquets/bouquet,coups/coup,obey/obey,conveying/convey,suppers/supper,generations/generation
bibliography/bibliography,day/day,laugh/laugh,bouquets/bouquet,eyebrow/eyebrow,omened/omen,sucking/suck,quarterlies/quarterly
slowness/slowness,fare/fare,rhymes/rhyme,use/use,owed/owe,plighting/plight,gagging/gag,cases/case
peculiarities/peculiarity,pore/pore,chauffeured/chauffeur,irons/iron,owes/owe,latent/latent,yawning/yawn,tracts/tract
oblongs/oblong,lay/lay,cues/cue,are/be,adds/add,implying/imply,gasping/gasp,withholding/withhold
storehouses/storehouse,mole/mole,chauffeur/chauffeur,suite/suite,boyhoods/boyhood,abolition/abolition,sobbing/sob,cubic/cubic
laborious/laborious,set/set,chauffeurs/chauffeur,ironed/iron,ambush/ambush,assume/assume,crying/cry,predecessor/predecessor
orators/orator,lame/lame,coughs/cough,pros/pro,vows/vow,deemed/deem,kisses/kiss,censuses/census
tenements/tenement,low/low,hymn/hymn,twos/two,cowboy/cowboy,mere/mere,joking/joke,banded/band
roughness/roughness,bitted/bit,circuses/circus,elite/elite,egging/egg,eliciting/elicit,ginning/gin,Mays/may
tenement/tenement,core/core,cough/cough,elites/elite,eyed/eye,imperatives/imperative,peppered/pepper,tract/tract
antagonisms/antagonism,mat/mat,circuits/circuit,naive/naive,owls/owl,implied/imply,kissing/kiss,established/establish
suffixes/suffix,tale/tale,hues/hue,mortgage/mortgage,icy/icy,abiding/abide,lain/lie,proceeds/proceeds
secretion/secretion,hall/hall,skis/ski,urine/urine,owl/owl,envying/envy,biting/bite,chambers/chamber
storehouse/storehouse,wore/wear,sues/sue,mortgaging/mortgage,add/add,convey/convey,candies/candy,paralleled/parallel
spherical/spherical,sore/sore,seizure/seizure,chaos/chaos,age/age,conveyed/convey,laughing/laugh,knacks/knack
secretions/secretion,hat/hat,chauffeuring/chauffeur,mortgaged/mortgage,ice/ice,wonted/wont,spitting/spit,staffed/staff
steamship/steamship,late/late,sewn/sew,women/woman,voyaged/voyage,envies/envy,growling/growl,tariff/tariff
stubby/stubby,ball/ball,coup/coup,garage/garage,obeys/obey,exempted/exempt,selves/self,rigs/rig
computations/computation,mate/mate,builds/build,mature/mature,boyhood/boyhood,biassing/bias,doubting/doubt,tabs/tab
suffix/suffix,till/till,seizures/seizure,ache/ache,eyes/eye,fates/fate,jerking/jerk,gateways/gateway
insecticides/insecticide,dare/dare,knees/knee,manure/manure,egged/egg,wit/wit,sinning/sin,intermediates/intermediate
schoolmasters/schoolmaster,fore/fore,scenes/scene,dew/dew,aped/ape,elicited/elicit,worries/worry,alternatives/alternative
oblong/oblong,gay/gay,reign/reign,gone/go,view/view,fortuned/fortune,dries/dry,stainless/stainless
