1,2,3,4,5,6,7,8
are/be,bibliographies/bibliography,man/man,squealed/squeal,contention/contention,puppy/puppy,occur/occur,food/food
was/be,manufacturers/manufacturer,hands/hand,liars/liar,continent/continent,soaps/soap,form/form,money/money
being/be,relationships/relationship,bagging/bag,liar/liar,contentions/contention,soap/soap,feature/feature,monies/money
were/be,grandchildren/grandchild,stands/stand,sleeps/sleep,continents/continent,sofas/sofa,portrayed/portray,water/water
been/be,enthusiastic/enthusiastic,banked/bank,swum/swim,scenting/scent,pumpkin/pumpkin,compare/compare,love/love
have/have,vocabularies/vocabulary,slashed/slash,bleeds/bleed,cent/cent,puppies/puppy,operate/operate,car/car
having/have,championships/championship,bands/band,boils/boil,destination/destination,biscuits/biscuit,compared/compare,work/work
does/do,agricultural/agricultural,lands/land,prior/prior,distant/distant,socks/sock,regard/regard,sexing/sex
had/have,congratulated/congratulate,damping/damp,feels/feel,contraction/contraction,sock/sock,give/give,sex/sex
has/have,entrepreneurs/entrepreneur,tramping/tramp,keeps/keep,contaminated/contaminate,sword/sword,occurs/occur,music/music
doing/do,dictatorships/dictatorship,smashed/smash,snug/snug,condition/condition,soaped/soap,operates/operate,bad/bad
getting/get,sensitivities/sensitivity,stamp/stamp,boil/boil,patenting/patent,lotions/lotion,death/death,bads/bad
goes/go,psychologists/psychologist,dashed/dash,quaint/quaint,conditions/condition,tomato/tomato,occurred/occur,old/old
one/one,photographers/photographer,mashed/mash,jointed/joint,contraption/contraption,armchairs/armchair,return/return,happy/happy
making/make,handkerchiefs/handkerchief,stabbing/stab,bleed/bleed,continuation/continuation,swords/sword,comparing/compare,man/man
get/get,opportunities/opportunity,branched/branch,quainter/quaint,sentinels/sentinel,cups/cup,compares/compare,fun/fun
going/go,manufacturer/manufacturer,grasped/grasp,sleepy/sleepy,sentiment/sentiment,pillow/pillow,result/result,good/good
did/do,congratulates/congratulate,brands/brand,spoil/spoil,patient/patient,socked/sock,addition/addition,red/red
made/make,intellectuals/intellectual,flashed/flash,weeps/weep,parent/parent,pillows/pillow,range/range,dogging/dog
makes/make,equilibriums/equilibrium,lagging/lag,sleep/sleep,session/session,lotion/lotion,character/character,green/green
make/make,distinguishing/distinguish,strands/strand,clubbed/club,patented/patent,cup/cup,place/place,dog/dog
gets/get,peculiarities/peculiarity,clashed/clash,sweeps/sweep,instrument/instrument,sofa/sofa,results/result,pain/pain
done/do,enthusiasms/enthusiasm,hangs/hang,snugs/snug,contrasted/contrast,jar/jar,period/period,cold/cold
hast/have,kindergartens/kindergarten,glands/gland,priors/prior,continuations/continuation,dog/dog,hand/hand,sad/sad
ones/one,relationship/relationship,wagged/wag,joints/joint,instants/instant,syrup/syrup,define/define,school/school
can/can,bureaucracies/bureaucracy,splashed/splash,kneels/kneel,instrumenting/instrument,tomatoes/tomato,resulted/result,peopling/people
got/get,controversies/controversy,stamps/stamp,spoils/spoil,instrumented/instrument,potatoes/potato,play/play,woman/woman
like/like,psychologist/psychologist,scrapping/scrap,keep/keep,instant/instant,baskets/basket,turn/turn,people/people
said/say,spectaculars/spectacular,bagged/bag,drum/drum,scent/scent,grasses/grass,end/end,peopled/people
went/go,personalities/personality,flanked/flank,sweep/sweep,sitting/sit,armchair/armchair,gives/give,moneys/money
know/know,presentations/presentation,clasped/clasp,joint/joint,sinning/sin,shirt/shirt,release/release,death/death
will/will,astronomical/astronomical,bath/bath,spoiled/spoil,torrent/torrent,wrists/wrist,link/link,person/person
knows/know,bibliography/bibliography,tanning/tan,voiced/voice,sentences/sentence,potato/potato,relationship/relationship,paining/pain
known/know,dictatorship/dictatorship,panning/pan,clump/clump,tenanting/tenant,basket/basket,line/line,babying/baby
seen/see,satisfactions/satisfaction,grasping/grasp,club/club,sentence/sentence,shirts/shirt,moment/moment,manned/man
taking/take,vocabulary/vocabulary,acts/act,dye/dye,kitten/kitten,celery/celery,role/role,hot/hot
says/say,observatories/observatory,branch/branch,join/join,contractions/contraction,napkin/napkin,comprised/comprise,life/life
knowing/know,satisfactory/satisfactory,tasking/task,feel/feel,distance/distance,pumpkins/pumpkin,comprise/comprise,baby/baby
saying/say,skyscrapers/skyscraper,tracts/tract,glee/glee,minting/mint,flower/flower,defines/define,house/house
times/time,geographical/geographical,damped/damp,meets/meet,sessions/session,pillowed/pillow,defeat/defeat,fire/fire
