Factor,Variable,Loading,Sign_reversed,Corrected_item_total_correlation,Alpha_if_deleted
Factor 1,CD_Blog_LemmaSum,0.958,False,0.952313522727187,0.9723384119475501
Factor 1,Freq_Blog_LemmaSum,0.955,False,0.9523294969472924,0.972338262325404
Factor 1,CD_SUBTLEXUK_LemmaSum,0.953,False,0.9470422847011833,0.9723877700700554
Factor 1,CD_News_LemmaSum,0.944,False,0.9019659130221239,0.9728086466197432
Factor 1,Freq_SUBTLEXUK_Zipf_LemmaSum,0.943,False,0.9433039899259025,0.9724227563388
Factor 1,Freq_SUBTLEXUK_LemmaSum,0.943,False,0.9433039899259026,0.9724227563388
Factor 1,Freq_News_LemmaSum,0.942,False,0.9015130347692171,0.9728128642080525
Factor 1,CD_Twitter_LemmaSum,0.92,False,0.9242367343546298,0.9726009738802387
Factor 1,Freq_Twitter_LemmaSum,0.919,False,0.923733460958208,0.9726056726463517
Factor 1,CD_SUBTLEXUS_LemmaSum,0.904,False,0.92273369478929,0.9726150060756021
Factor 1,Freq_SUBTLEXUS_LemmaSum,0.897,False,0.9198733036860424,0.9726417037272828
Factor 1,Freq_SUBTLEXUS_Zipf_LemmaSum,0.897,False,0.9198733036860421,0.9726417037272828
Factor 1,Freq_HAL_LemmaSum,0.897,False,0.8695258198152048,0.9731102079828475
Factor 1,Freq_KF_LemmaSum,0.861,False,0.8413717876275244,0.9733710261621644
Factor 1,Cumfreq_TASA,0.612,False,0.743881431698531,0.9742677381956444
Factor 1,Sem_N,0.578,False,0.6276294900122793,0.9753240484881334
Factor 1,Nsenses_WordNet,0.491,False,0.5145628213045967,0.9763380031340485
Factor 1,Sem_N_D,0.463,False,0.43635787203715226,0.977031653814224
Factor 1,Sem_Diversity,0.421,False,0.4020407993822882,0.9773340661487673
Factor 1,AoA_Kuper,-0.524,True,0.5750222770677758,0.9757974549978501
Factor 1,AoA_LWV,-0.531,True,0.5886433078562568,0.9756751548344204
Factor 2,OLD20,0.884,False,0.8736236638250283,0.9533926455987269
Factor 2,PLD20,0.877,False,0.8760481900848993,0.9533569354514093
Factor 2,NLett,0.813,False,0.8732987336307263,0.9533974305109105
Factor 2,OUP,0.806,False,0.8176396169294378,0.9542139635796733
Factor 2,NPhon,0.799,False,0.882160344975994,0.9532668592428536
Factor 2,PUP,0.742,False,0.80412563515295,0.9544112886921738
Factor 2,NSyll,0.729,False,0.814852549551887,0.9542546887249919
Factor 2,NMorph,0.548,False,0.5169891693788834,0.9585191707412143
Factor 2,Consistency_Token_FB_C,0.407,False,0.43580623171318655,0.9596516104676296
Factor 2,Consistency_Type_FB_C,0.405,False,0.4340884817825066,0.959675435358627
Factor 2,BigramF_Avg_C_Log,-0.625,True,0.4986624295091097,0.9587759204979744
Factor 2,Phonographic_N,-0.683,True,0.6720330362171244,0.9563210675587758
Factor 2,OLD20F,-0.707,True,0.682349802458652,0.956173143249707
Factor 2,PLD20F,-0.737,True,0.7220904003806341,0.9556013837047225
Factor 2,Orth_N,-0.739,True,0.7450462902024573,0.9552696970910044
Factor 2,Orth_Spread,-0.742,True,0.7347101635075705,0.9554191707442372
Factor 2,Phon_N,-0.753,True,0.7557760999405769,0.9551143076618679
Factor 2,Phon_Spread,-0.753,True,0.7407631611735835,0.9553316621532086
Factor 2,UnigramF_Avg_C_Log,-0.855,True,0.855820463386225,0.9536545049034937
Factor 3,Consistency_Token_FB,0.968,False,0.9334462335691701,0.9300457712440894
Factor 3,Consistency_Type_FB,0.966,False,0.9323911106172471,0.9301191019410004
Factor 3,Consistency_Token_FB_ON,0.811,False,0.752388577873636,0.9423226179880779
Factor 3,Consistency_Type_FB_ON,0.811,False,0.7537547265519049,0.9422322692498022
Factor 3,Consistency_Token_FB_N,0.81,False,0.8093688347084596,0.9385250205416164
