Variable,Factor,Loading
CD_Blog_LemmaSum,Factor 1,0.958
Freq_Blog_LemmaSum,Factor 1,0.955
CD_SUBTLEXUK_LemmaSum,Factor 1,0.953
CD_News_LemmaSum,Factor 1,0.944
Freq_SUBTLEXUK_Zipf_LemmaSum,Factor 1,0.943
Freq_SUBTLEXUK_LemmaSum,Factor 1,0.943
Freq_News_LemmaSum,Factor 1,0.942
CD_Twitter_LemmaSum,Factor 1,0.92
Freq_Twitter_LemmaSum,Factor 1,0.919
CD_SUBTLEXUS_LemmaSum,Factor 1,0.904
Freq_SUBTLEXUS_LemmaSum,Factor 1,0.897
Freq_SUBTLEXUS_Zipf_LemmaSum,Factor 1,0.897
Freq_HAL_LemmaSum,Factor 1,0.897
Freq_KF_LemmaSum,Factor 1,0.861
Cumfreq_TASA,Factor 1,0.612
Sem_N,Factor 1,0.578
Nsenses_WordNet,Factor 1,0.491
Sem_N_D,Factor 1,0.463
Sem_Diversity,Factor 1,0.421
AoA_Kuper,Factor 1,-0.524
AoA_Kuper,Factor 6,-0.421
AoA_LWV,Factor 1,-0.531
AoA_LWV,Factor 6,-0.42
OLD20,Factor 2,0.884
PLD20,Factor 2,0.877
NLett,Factor 2,0.813
OUP,Factor 2,0.806
NPhon,Factor 2,0.799
PUP,Factor 2,0.742
NSyll,Factor 2,0.729
NMorph,Factor 2,0.548
Consistency_Token_FB_C,Factor 2,0.407
Consistency_Type_FB_C,Factor 2,0.405
BigramF_Avg_C_Log,Factor 2,-0.625
Phonographic_N,Factor 2,-0.683
OLD20F,Factor 2,-0.707
PLD20F,Factor 2,-0.737
Orth_N,Factor 2,-0.739
Orth_Spread,Factor 2,-0.742
Phon_N,Factor 2,-0.753
Phon_Spread,Factor 2,-0.753
UnigramF_Avg_C_Log,Factor 2,-0.855
Consistency_Token_FB,Factor 3,0.968
Consistency_Type_FB,Factor 3,0.966
Consistency_Token_FB_ON,Factor 3,0.811
Consistency_Type_FB_ON,Factor 3,0.811
Consistency_Token_FB_N,Factor 3,0.81
Consistency_Type_FB_N,Factor 3,0.81
Consistency_Token_FB_R,Factor 3,0.768
Consistency_Type_FB_R,Factor 3,0.765
Consistency_Token_FF,Factor 4,0.948
Consistency_Type_FF,Factor 4,0.945
Consistency_Token_FF_ON,Factor 4,0.889
Consistency_Type_FF_ON,Factor 4,0.889
Consistency_Type_FF_N,Factor 4,0.846
Consistency_Token_FF_N,Factor 4,0.846
Consistency_Token_FF_R,Factor 4,0.485
Consistency_Type_FF_R,Factor 4,0.481
UniphonP_St_C,Factor 5,0.82
UniphonP_Un_C,Factor 5,0.819
UniphonP_Un,Factor 5,0.805
UniphonP_St,Factor 5,0.799
BiphonP_St,Factor 5,0.757
BiphonP_Un,Factor 5,0.734
TriphonP_Un,Factor 5,0.72
TriphonP_St,Factor 5,0.711
TrigramF_Avg_U_Log,Factor 5,0.461
TrigramF_Avg_C_Log,Factor 5,0.453
BigramF_Avg_U_Log,Factor 5,0.432
Conc_Brys,Factor 6,0.802
Visual_Lanc,Factor 6,0.759
Haptic_Lanc,Factor 6,0.749
Mink_Perceptual_Lanc,Factor 6,0.641
Hand_Arm_Lanc,Factor 6,0.585
Interoceptive_Lanc,Factor 6,-0.426
Interoceptive_Lanc,Factor 8,0.446
Sem_N_D_Taxonomic_N10,Factor 7,0.923
Sem_N_D_Taxonomic_N25,Factor 7,0.922
Sem_N_D_Taxonomic_N50,Factor 7,0.92
Sem_N_D_Taxonomic_N3,Factor 7,0.92
Assoc_Freq_Token123,Factor 8,0.8
Assoc_Freq_Type,Factor 8,0.784
Assoc_Freq_Type123,Factor 8,0.779
Assoc_Freq_Token,Factor 8,0.779
Mink_Action_Lanc,Factor 8,0.482
Mouth_Throat_Lanc,Factor 8,0.475
