Word,DPoS_VanH,Lemma_spacy,PoS_tag_spacy,Lemma,PoS_tag,idx
'em,,them,NOUN,'em,NOUN,0
'neath,,'neath,PUNCT,'neath,PUNCT,1
're,,be,AUX,'re,AUX,2
'shun,,'shun,PROPN,'shun,PROPN,3
'tis,,'tis,VERB,'tis,VERB,4
'twas,,'twa,VERB,'twas,VERB,5
'tween,,'tween,VERB,'tween,VERB,6
'twere,,'twere,VERB,'twere,VERB,7
'twill,,'twill,VERB,'twill,VERB,8
'twixt,,'twixt,VERB,'twixt,VERB,9
'twould,,'twould,AUX,'twould,AUX,10
'un,,'un,VERB,'un,VERB,11
've,,have,AUX,'ve,AUX,12
_clair,,_clair,PUNCT,_clair,PUNCT,13
_clairs,,_clairs,PUNCT,_clairs,PUNCT,14
_clat,,_clat,PUNCT,_clat,PUNCT,15
_cru,,_cru,X,_cru,X,16
_lan,,_lan,PROPN,_lan,PROPN,17
_p_e,,_p_e,NOUN,_p_e,NOUN,18
a,determiner,a,PRON,a,PRON,19
a's,,a's,ADV,a's,ADV,20
AA,,AA,PROPN,AA,PROPN,21
AAAWWW,,AAAWWW,PROPN,AAAWWW,PROPN,22
aah,noun,aah,PROPN,aah,PROPN,23
aardvark,name,aardvark,PROPN,aardvark,PROPN,24
aardwolf,noun,aardwolf,NOUN,aardwolf,NOUN,25
Aaron,,Aaron,PROPN,Aaron,PROPN,26
AAs,,aa,NOUN,aa,NOUN,27
abaca,noun,abaca,PROPN,abaca,PROPN,28
abaci,,abaci,NOUN,abaci,NOUN,29
aback,adverb,aback,ADV,aback,ADV,30
abacus,noun,abacus,NOUN,abacus,NOUN,31
abacuses,noun,abacus,NOUN,abacus,NOUN,32
abaft,,abaft,NOUN,abaft,NOUN,33
abalone,noun,abalone,PROPN,abalone,PROPN,34
abandon,verb,abandon,VERB,abandon,VERB,35
abandoned,verb,abandon,VERB,abandon,VERB,36
abandonee,,abandonee,NOUN,abandonee,NOUN,37
abandoner,noun,abandoner,NOUN,abandoner,NOUN,38
abandoning,verb,abandon,VERB,abandon,VERB,39
abandonment,noun,abandonment,NOUN,abandonment,NOUN,40
abandons,verb,abandon,NOUN,abandon,NOUN,41
ABARINGE,,ABARINGE,PROPN,ABARINGE,PROPN,42
abase,verb,abase,NOUN,abase,NOUN,43
abased,,abase,VERB,abase,VERB,44
abasement,noun,abasement,NOUN,abasement,NOUN,45
abases,,abase,VERB,abase,VERB,46
abash,,abash,PROPN,abash,PROPN,47
abashed,adjective,abash,VERB,abash,VERB,48
abashedly,,abashedly,ADV,abashedly,ADV,49
abashes,,abashe,NOUN,abashe,NOUN,50
abashing,,abash,VERB,abash,VERB,51
abashment,,abashment,ADJ,abashment,ADJ,52
abasing,,abase,VERB,abase,VERB,53
abatable,,abatable,ADJ,abatable,ADJ,54
abate,verb,abate,VERB,abate,VERB,55
abated,verb,abate,VERB,abate,VERB,56
abatement,noun,abatement,NOUN,abatement,NOUN,57
abates,verb,abate,NOUN,abate,NOUN,58
abating,verb,abate,VERB,abate,VERB,59
abattoir,noun,abattoir,PROPN,abattoir,PROPN,60
abattoirs,noun,abattoir,NOUN,abattoir,NOUN,61
ABATUNO,,ABATUNO,PROPN,ABATUNO,PROPN,62
abb_,,abb_,VERB,abb_,VERB,63
abb_s,,abb_,NOUN,abb_s,NOUN,64
abbacy,,abbacy,NOUN,abbacy,NOUN,65
ABBAS,,ABBAS,PROPN,ABBAS,PROPN,66
ABBAS'S,,ABBAS'S,PROPN,ABBAS'S,PROPN,67
abbatial,,abbatial,ADJ,abbatial,ADJ,68
abbe,name,abbe,NOUN,abbe,NOUN,69
ABBERATIONS,,abberation,NOUN,abberation,NOUN,70
abbes,,abbe,NOUN,abbe,NOUN,71
abbess,name,abbess,ADJ,abbess,ADJ,72
abbesses,noun,abbess,NOUN,abbess,NOUN,73
abbey,name,abbey,VERB,abbey,VERB,74
abbeys,noun,abbey,NOUN,abbey,NOUN,75
abbot,name,abbot,NOUN,abbot,NOUN,76
abbots,name,abbot,VERB,abbot,VERB,77
abbotship,,abbotship,NOUN,abbotship,NOUN,78
ABBOTT,,ABBOTT,PROPN,ABBOTT,PROPN,79
abbreviate,verb,abbreviate,VERB,abbreviate,VERB,80
abbreviated,adjective,abbreviate,VERB,abbreviate,VERB,81
abbreviates,verb,abbreviate,NOUN,abbreviate,NOUN,82
abbreviating,verb,abbreviate,VERB,abbreviate,VERB,83
abbreviation,noun,abbreviation,NOUN,abbreviation,NOUN,84
abbreviations,noun,abbreviation,NOUN,abbreviation,NOUN,85
abbreviator,,abbreviator,NOUN,abbreviator,NOUN,86
ABC,,ABC,PROPN,ABC,PROPN,87
ABC's,,ABC's,PROPN,ABC's,PROPN,88
ABCs,,abc,NOUN,abc,NOUN,89
ABDALLAH,,ABDALLAH,PROPN,ABDALLAH,PROPN,90
abdicable,,abdicable,ADJ,abdicable,ADJ,91
abdicant,,abdicant,ADJ,abdicant,ADJ,92
abdicate,verb,abdicate,VERB,abdicate,VERB,93
abdicated,verb,abdicate,VERB,abdicate,VERB,94
abdicates,verb,abdicate,NOUN,abdicate,NOUN,95
abdicating,verb,abdicate,VERB,abdicate,VERB,96
abdication,noun,abdication,NOUN,abdication,NOUN,97
abdications,,abdication,NOUN,abdication,NOUN,98
abdicative,,abdicative,NOUN,abdicative,NOUN,99
abdicator,,abdicator,NOUN,abdicator,NOUN,100
abdomen,noun,abdomen,PROPN,abdomen,PROPN,101
abdomens,noun,abdomen,NOUN,abdomen,NOUN,102
abdominal,adjective,abdominal,ADJ,abdominal,ADJ,103
abdominally,,abdominally,ADV,abdominally,ADV,104
ABDOMINIS,,abdominis,NOUN,abdominis,NOUN,105
abduct,verb,abduct,NOUN,abduct,NOUN,106
abducted,noun,abduct,VERB,abduct,VERB,107
abductee,,abductee,NOUN,abductee,NOUN,108
abducting,verb,abduct,VERB,abduct,VERB,109
abduction,noun,abduction,NOUN,abduction,NOUN,110
abductions,noun,abduction,NOUN,abduction,NOUN,111
abductor,noun,abductor,NOUN,abductor,NOUN,112
abducts,verb,abduct,VERB,abduct,VERB,113
Abe,,Abe,PROPN,Abe,PROPN,114
abeam,verb,abeam,ADJ,abeam,ADJ,115
abecedarian,,abecedarian,PROPN,abecedarian,PROPN,116
abecedary,,abecedary,NOUN,abecedary,NOUN,117
abed,name,abe,VERB,abe,VERB,118
Abel,,Abel,PROPN,Abel,PROPN,119
Abel's,,abel's,ADJ,Abel's,ADJ,120
abele,,abele,PROPN,abele,PROPN,121
ABELL,,ABELL,PROPN,ABELL,PROPN,122
ABELSON,,abelson,NOUN,abelson,NOUN,123
ABER,,ABER,PROPN,ABER,PROPN,124
ABERNATHY,,ABERNATHY,PROPN,ABERNATHY,PROPN,125
ABERNATHYS,,abernathy,NOUN,abernathy,NOUN,126
aberrance,,aberrance,NOUN,aberrance,NOUN,127
aberrancy,,aberrancy,NOUN,aberrancy,NOUN,128
aberrant,adjective,aberrant,NOUN,aberrant,NOUN,129
aberration,noun,aberration,NOUN,aberration,NOUN,130
aberrational,,aberrational,ADJ,aberrational,ADJ,131
aberrations,noun,aberration,NOUN,aberration,NOUN,132
abet,verb,abet,NOUN,abet,NOUN,133
abetment,,abetment,NOUN,abetment,NOUN,134
abets,,abet,NOUN,abet,NOUN,135
abetted,verb,abet,VERB,abet,VERB,136
abetting,verb,abet,VERB,abet,VERB,137
abettor,,abettor,NOUN,abettor,NOUN,138
abettors,,abettor,NOUN,abettor,NOUN,139
abeyance,noun,abeyance,NOUN,abeyance,NOUN,140
abeyant,,abeyant,NOUN,abeyant,NOUN,141
abhor,verb,abhor,NOUN,abhor,NOUN,142
abhorred,adjective,abhor,VERB,abhor,VERB,143
abhorrence,noun,abhorrence,NOUN,abhorrence,NOUN,144
abhorrent,adjective,abhorrent,NOUN,abhorrent,NOUN,145
abhorrently,,abhorrently,ADV,abhorrently,ADV,146
abhorrer,,abhorrer,PROPN,abhorrer,PROPN,147
abhorring,verb,abhorring,NOUN,abhorring,NOUN,148
abhors,verb,abhor,NOUN,abhor,NOUN,149
abidance,,abidance,ADV,abidance,ADV,150
abide,verb,abide,NOUN,abide,NOUN,151
abided,verb,abide,VERB,abide,VERB,152
abider,,abider,NOUN,abider,NOUN,153
abides,noun,abide,NOUN,abide,NOUN,154
abiding,verb,abide,VERB,abide,VERB,155
abidingly,,abidingly,ADV,abidingly,ADV,156
abidingness,,abidingness,NOUN,abidingness,NOUN,157
Abigail,,Abigail,PROPN,Abigail,PROPN,158
ABILENE,,ABILENE,NOUN,ABILENE,NOUN,159
abilities,noun,ability,NOUN,ability,NOUN,160
ability,noun,ability,NOUN,ability,NOUN,161
abiogenesis,,abiogenesis,NOUN,abiogenesis,NOUN,162
abiogenetically,,abiogenetically,ADV,abiogenetically,ADV,163
abiotic,,abiotic,ADJ,abiotic,ADJ,164
abject,adjective,abject,VERB,abject,VERB,165
abjection,noun,abjection,NOUN,abjection,NOUN,166
abjections,,abjection,NOUN,abjection,NOUN,167
abjectly,adverb,abjectly,ADV,abjectly,ADV,168
abjectness,,abjectness,NOUN,abjectness,NOUN,169
abjudicate,,abjudicate,VERB,abjudicate,VERB,170
abjuration,,abjuration,NOUN,abjuration,NOUN,171
abjurations,,abjuration,NOUN,abjuration,NOUN,172
abjuratory,,abjuratory,NOUN,abjuratory,NOUN,173
