Word,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
'em,them,NOUN,,,,3,Step 3: spaCy fallback,them,True,'em
're,be,AUX,,,,3,Step 3: spaCy fallback,be,True,'re
'twas,'twa,VERB,,,,3,Step 3: spaCy fallback,'twa,True,'twas
've,have,AUX,,,,3,Step 3: spaCy fallback,have,True,'ve
abashed,abash,VERB,abashed,abashed,,1,Step 1: SUBTLEX-UK,abashed,False,abashed
abb_s,abb_,NOUN,,,,3,Step 3: spaCy fallback,abb_,True,abb_s
abbots,abbot,VERB,abbots,abbots,,1,Step 1: SUBTLEX-UK,abbots,False,abbots
abbreviated,abbreviate,VERB,abbreviated,abbreviated,Adjective,1,Step 1: SUBTLEX-UK,abbreviated,False,abbreviated
abducted,abduct,VERB,abducted,abducted,Verb,1,Step 1: SUBTLEX-UK,abducted,False,abducted
abed,abe,VERB,abed,abed,Adverb,1,Step 1: SUBTLEX-UK,abed,False,abed
Abel's,abel's,ADJ,,,,3,Step 3: spaCy fallback,abel's,True,Abel's
abhorred,abhor,VERB,abhorred,abhorred,Verb,1,Step 1: SUBTLEX-UK,abhorred,False,abhorred
abhorring,abhorring,NOUN,abhorring,abhor,,1,Step 1: SUBTLEX-UK,abhor,False,abhor
abolishes,abolishe,NOUN,abolishes,abolish,Verb,1,Step 1: SUBTLEX-UK,abolish,False,abolish
aboriginals,aboriginal,NOUN,aboriginals,aboriginals,Name,1,Step 1: SUBTLEX-UK,aboriginals,False,aboriginals
aborigines,aborigine,NOUN,aborigines,aborigines,Noun,1,Step 1: SUBTLEX-UK,aborigines,False,aborigines
aborted,abort,VERB,aborted,aborted,Verb,1,Step 1: SUBTLEX-UK,aborted,False,aborted
abovementioned,abovementione,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,abovementioned,False,abovementioned
abraded,abrade,VERB,abraded,abraded,Verb,1,Step 1: SUBTLEX-UK,abraded,False,abraded
abridged,abridge,VERB,abridged,abridged,Adjective,1,Step 1: SUBTLEX-UK,abridged,False,abridged
abs,ab,NOUN,abs,abs,Adjective,1,Step 1: SUBTLEX-UK,abs,False,abs
abscessed,abscesse,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,abscessed,False,abscessed
absented,absent,VERB,absented,absented,,1,Step 1: SUBTLEX-UK,absented,False,absented
absenting,absent,VERB,absenting,absenting,Verb,1,Step 1: SUBTLEX-UK,absenting,False,absenting
absentminded,absentminde,VERB,absentminded,absentminded,Adjective,1,Step 1: SUBTLEX-UK,absentminded,False,absentminded
absolved,absolve,VERB,absolved,absolved,Verb,1,Step 1: SUBTLEX-UK,absolved,False,absolved
abstracted,abstract,VERB,abstracted,abstracted,Adjective,1,Step 1: SUBTLEX-UK,abstracted,False,abstracted
