factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F7_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,0.0739699608151875,0.0941910202649663,0.0083543603206079,0.1212650513039558
F2_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,-0.070270226799865,-0.1178077726866155,-0.152881794464554,0.0147836419294485
F1_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,0.0615778701929388,0.0828250786593978,-0.0361869909406782,0.1459121257932021
F2_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,0.0481723575362202,0.069124486496726,-0.0365921852257086,0.154140194597344
F7_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,0.0477177991418191,0.069457993197141,-0.0249497805820646,0.1914250797653585
F1_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0423092149598879,-0.0723817975779361,-0.2276174457987112,0.0660770361872845
F7_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,0.0422294353505187,0.0615536135306661,-0.0245881808587332,0.1877447186340977
F3_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,0.0420569971080898,0.0476084047709909,-0.0487323431865598,0.1700558852664233
F1_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0411300731470232,-0.0677322529645688,-0.2178463069797795,0.0676291916435317
F4_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,0.039066412346267,0.0611680655921195,-0.0523463905741424,0.2106581423968256
F4_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,0.0390159023718743,0.0783007159925138,-0.0496714595203009,0.1728015046066269
F5_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0383262126871819,0.0335852634293494,-0.0292478431433071,0.1915864284446496
F1_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,-0.0380382350980037,-0.0619500886881625,-0.2157376814795123,0.0675265106275827
F2_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.037896430082642,0.0514325334033816,-0.0562056368498132,0.1901538089835578
F2_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0372444745591947,0.0499668543765653,-0.0454877907221521,0.1980229606585841
F1_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,-0.0360516946801524,-0.0410046152570088,-0.2036620927988039,0.0453849726028049
F1_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,-0.0353463254140264,-0.0588046725160913,-0.1358577095615896,0.0432786781158761
F4_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,-0.0334675920028392,-0.0480610162613182,-0.0812834567930536,0.0521547980022281
