factor,feature,p_value,q_bh,significant_q05
F1_n8,peak_amplitude,0.19281631355053008,0.4206161278012533,False
F1_n8,rms,0.29175463189227024,0.47859587034396894,False
F1_n8,rms_dbfs,0.06535993465207335,0.32679967326036674,False
F1_n8,spectral_bandwidth_hz,0.4788080885747593,0.6720113523856271,False
F1_n8,spectral_centroid_hz,0.16086790000837745,0.4206161278012533,False
F1_n8,spectral_flatness,0.6316756020111034,0.7482530592212706,False
F1_n8,spectral_flux,0.02252654743623153,0.32679967326036674,False
F1_n8,spectral_rolloff_85_hz,0.1525889458931432,0.4206161278012533,False
F1_n8,word_count_per_tr,0.024066663788596204,0.32679967326036674,False
F1_n8,zero_crossing_rate,0.18425863833352046,0.4206161278012533,False
F2_n8,peak_amplitude,0.21659626823954387,0.4321940354804829,False
F2_n8,rms,0.22035475411863076,0.4321940354804829,False
F2_n8,rms_dbfs,0.02957530431520559,0.32679967326036674,False
F2_n8,spectral_bandwidth_hz,0.6292803547498855,0.7482530592212706,False
F2_n8,spectral_centroid_hz,0.16031545721558876,0.4206161278012533,False
F2_n8,spectral_flatness,0.21057668498689344,0.4321940354804829,False
F2_n8,spectral_flux,0.05926711532701602,0.32679967326036674,False
F2_n8,spectral_rolloff_85_hz,0.17384572878365612,0.4206161278012533,False
F2_n8,word_count_per_tr,0.006842285105145387,0.2736914042058155,False
F2_n8,zero_crossing_rate,0.19169930636541327,0.4206161278012533,False
F3_n8,peak_amplitude,0.2629859914632195,0.467530651490168,False
F3_n8,rms,0.6360151003380801,0.7482530592212706,False
F3_n8,rms_dbfs,0.19453495910807966,0.4206161278012533,False
F3_n8,spectral_bandwidth_hz,0.8002175520059301,0.8651000562226272,False
F3_n8,spectral_centroid_hz,0.6569417791696841,0.7616716280228222,False
F3_n8,spectral_flatness,0.4956006278539047,0.6835870729019374,False
F3_n8,spectral_flux,0.8716396516824816,0.9175154228236648,False
F3_n8,spectral_rolloff_85_hz,0.8706046925823555,0.9175154228236648,False
F3_n8,word_count_per_tr,0.06008796026560238,0.32679967326036674,False
F3_n8,zero_crossing_rate,0.7544229171989485,0.8364038239517944,False
F4_n8,peak_amplitude,0.19319077252557532,0.4206161278012533,False
F4_n8,rms,0.29494166276055633,0.47859587034396894,False
F4_n8,rms_dbfs,0.10121346653080657,0.38525829492158403,False
F4_n8,spectral_bandwidth_hz,0.5253167058718652,0.7122938384703257,False
F4_n8,spectral_centroid_hz,0.4475217510453584,0.6509407287932486,False
F4_n8,spectral_flatness,0.050465332523609616,0.32679967326036674,False
F4_n8,spectral_flux,0.23690726364391357,0.4335681433962782,False
F4_n8,spectral_rolloff_85_hz,0.4730802673019604,0.6720113523856271,False
F4_n8,word_count_per_tr,0.6928454191613654,0.7918233361844176,False
F4_n8,zero_crossing_rate,0.5781780273572221,0.7341943204536154,False
F5_n8,peak_amplitude,0.5550366129288731,0.7279168694149155,False
F5_n8,rms,0.33365724470629765,0.5133188380096887,False
F5_n8,rms_dbfs,0.3837650471342291,0.5792679956743081,False
F5_n8,spectral_bandwidth_hz,0.9839976124012924,0.9964532783810557,False
F5_n8,spectral_centroid_hz,0.10086788540042987,0.38525829492158403,False
F5_n8,spectral_flatness,0.2214994431837475,0.4321940354804829,False
F5_n8,spectral_flux,0.2743311706812984,0.4770976881413886,False
F5_n8,spectral_rolloff_85_hz,0.12066805081774158,0.4022268360591386,False
F5_n8,word_count_per_tr,0.13143235474931514,0.4044072453825081,False
F5_n8,zero_crossing_rate,0.10996488732236241,0.38525829492158403,False
F6_n8,peak_amplitude,0.6112733201012379,0.7482530592212706,False
F6_n8,rms,0.9964842282194004,0.9964842282194004,False
F6_n8,rms_dbfs,0.11076175978995542,0.38525829492158403,False
F6_n8,spectral_bandwidth_hz,0.2962179731456184,0.47859587034396894,False
F6_n8,spectral_centroid_hz,0.9462621931396207,0.9705253262970468,False
F6_n8,spectral_flatness,0.31301249949134685,0.4909999992021127,False
F6_n8,spectral_flux,0.0786315750863022,0.3473222405268042,False
F6_n8,spectral_rolloff_85_hz,0.8977242620513264,0.9327005320013781,False
F6_n8,word_count_per_tr,0.04398701854680277,0.32679967326036674,False
F6_n8,zero_crossing_rate,0.7194067953412799,0.8105992060183437,False
F7_n8,peak_amplitude,0.05959081525608063,0.32679967326036674,False
