factor,feature,p_value,q_bh,significant_q05
F1_n8,peak_amplitude,9.131235852158007e-21,6.087490568105339e-20,True
F1_n8,rms,1.0995785652990022e-15,4.18887072494858e-15,True
F1_n8,rms_dbfs,7.895659074885405e-30,7.018363622120361e-29,True
F1_n8,spectral_bandwidth_hz,0.22633880061528763,0.24142805398964015,False
F1_n8,spectral_centroid_hz,2.429840636960423e-06,3.410302648365506e-06,True
F1_n8,spectral_flatness,0.00036069610234225254,0.0004654143256029065,True
F1_n8,spectral_flux,9.639787184239949e-22,7.711829747391959e-21,True
F1_n8,spectral_rolloff_85_hz,1.424548844121134e-07,2.1502624062205796e-07,True
F1_n8,word_count_per_tr,5.315967631244626e-13,1.3718626145147422e-12,True
F1_n8,zero_crossing_rate,0.00011613606373872755,0.00015484808498497006,True
F2_n8,peak_amplitude,1.4758134027522348e-34,2.3613014444035758e-33,True
F2_n8,rms,1.831710554886574e-30,1.8317105548865738e-29,True
F2_n8,rms_dbfs,1.490250782518554e-45,3.9740020867161443e-44,True
F2_n8,spectral_bandwidth_hz,0.09078038876333955,0.10228776198686146,False
F2_n8,spectral_centroid_hz,1.0345036472365147e-10,2.1220587635620815e-10,True
F2_n8,spectral_flatness,3.7360022747972476e-20,2.2990783229521527e-19,True
F2_n8,spectral_flux,7.225584333979891e-13,1.8063960834949728e-12,True
F2_n8,spectral_rolloff_85_hz,5.164104324436335e-10,9.607635952439694e-10,True
F2_n8,word_count_per_tr,9.685346834968102e-31,1.1068967811392117e-29,True
F2_n8,zero_crossing_rate,7.047532524568481e-09,1.1506175550315887e-08,True
F3_n8,peak_amplitude,7.063192721207054e-14,1.9484669575743596e-13,True
F3_n8,rms,9.269496501447581e-06,1.2785512415789767e-05,True
F3_n8,rms_dbfs,2.6354581245144327e-09,4.583405433938144e-09,True
F3_n8,spectral_bandwidth_hz,0.05253705469064665,0.06004234821788188,False
F3_n8,spectral_centroid_hz,0.00040586683886339683,0.0005153864620487579,True
F3_n8,spectral_flatness,0.6222803426877933,0.6222803426877933,False
F3_n8,spectral_flux,0.0035485324306550334,0.004367424530036964,True
F3_n8,spectral_rolloff_85_hz,0.050167812257296274,0.0581655794287493,False
F3_n8,word_count_per_tr,1.4405797234838327e-34,2.3613014444035758e-33,True
F3_n8,zero_crossing_rate,0.03413798593941911,0.0401623363993166,True
F4_n8,peak_amplitude,2.94565127939268e-15,9.818837597975599e-15,True
F4_n8,rms,9.45930645866475e-12,2.225719166744647e-11,True
F4_n8,rms_dbfs,4.8514431109884375e-21,3.5283222625370455e-20,True
F4_n8,spectral_bandwidth_hz,2.121341693001726e-15,7.378579801745135e-15,True
F4_n8,spectral_centroid_hz,0.3417390347874011,0.3550535426362608,False
F4_n8,spectral_flatness,9.082946058275859e-33,1.2110594744367812e-31,True
F4_n8,spectral_flux,4.710813278793706e-09,7.851355464656177e-09,True
F4_n8,spectral_rolloff_85_hz,0.17604524827486787,0.1903191873241815,False
F4_n8,word_count_per_tr,9.458053315312348e-07,1.3511504736160497e-06,True
F4_n8,zero_crossing_rate,0.3201702567538317,0.3370213228987702,False
F5_n8,peak_amplitude,0.0002545624850269246,0.0003338524393795733,True
F5_n8,rms,0.4254581952833508,0.4363673797777957,False
F5_n8,rms_dbfs,1.40663244604388e-11,3.215159876671726e-11,True
F5_n8,spectral_bandwidth_hz,0.012293664529729706,0.014901411551187523,True
F5_n8,spectral_centroid_hz,1.3437900830147188e-15,4.886509392780795e-15,True
F5_n8,spectral_flatness,3.0309200479694246e-16,1.2761768623029157e-15,True
F5_n8,spectral_flux,1.1149571495423918e-18,5.246857174317138e-18,True
F5_n8,spectral_rolloff_85_hz,1.1821703274575892e-14,3.782945047864285e-14,True
F5_n8,word_count_per_tr,7.975064578302287e-07,1.1600093932076054e-06,True
F5_n8,zero_crossing_rate,1.6353821778003223e-14,4.8455768231120664e-14,True
F6_n8,peak_amplitude,0.12701768706445066,0.14113076340494515,False
F6_n8,rms,0.5470457122344201,0.5539703415032102,False
F6_n8,rms_dbfs,6.613118257200784e-19,3.306559128600392e-18,True
F6_n8,spectral_bandwidth_hz,4.586948367009346e-16,1.8347793468037383e-15,True
F6_n8,spectral_centroid_hz,0.0024453585236413186,0.0030566981545516484,True
F6_n8,spectral_flatness,8.925186708132106e-10,1.5866998592234856e-09,True
F6_n8,spectral_flux,1.1046575820093313e-17,4.909589253374806e-17,True
F6_n8,spectral_rolloff_85_hz,0.014280148509731121,0.017050923593708803,True
F6_n8,word_count_per_tr,1.7047566576495313e-47,6.8190266305981254e-46,True
F6_n8,zero_crossing_rate,6.565162208068987e-08,1.0298293659716058e-07,True
F7_n8,peak_amplitude,1.5346412919032403e-14,4.721973205856124e-14,True
F7_n8,rms,1.3991313160326128e-12,3.3918334934123943e-12,True
F7_n8,rms_dbfs,4.939488642507191e-13,1.3171969713352508e-12,True
F7_n8,spectral_bandwidth_hz,3.8088290593467485e-09,6.483113292505103e-09,True
F7_n8,spectral_centroid_hz,1.4588739626646177e-11,3.241942139254706e-11,True
F7_n8,spectral_flatness,0.16864895225918522,0.1848207695991071,False
F7_n8,spectral_flux,3.0528924264416174e-19,1.628209294102196e-18,True
F7_n8,spectral_rolloff_85_hz,5.954716686619768e-07,8.821802498695952e-07,True
F7_n8,word_count_per_tr,2.718951175757227e-85,2.175160940605782e-83,True
F7_n8,zero_crossing_rate,8.703494808074936e-10,1.5824536014681703e-09,True
F8_n8,peak_amplitude,1.928127786727188e-10,3.856255573454376e-10,True
F8_n8,rms,7.775407401270445e-08,1.1962165232723762e-07,True
F8_n8,rms_dbfs,4.756106038614226e-20,2.717774879208129e-19,True
F8_n8,spectral_bandwidth_hz,2.4962333166346642e-05,3.3847231411995445e-05,True
F8_n8,spectral_centroid_hz,7.119804663120204e-11,1.4989062448674113e-10,True
F8_n8,spectral_flatness,1.816004759577429e-14,5.188585027364083e-14,True
F8_n8,spectral_flux,3.7689247159829524e-11,8.149026412936114e-11,True
F8_n8,spectral_rolloff_85_hz,1.6645270884117384e-08,2.6632433414587816e-08,True
F8_n8,word_count_per_tr,3.051443769173254e-10,5.954036622777081e-10,True
F8_n8,zero_crossing_rate,3.4644749673465537e-10,6.59899993780296e-10,True
