factor,feature,p_value,q_bh,significant_q05
F1_n8,peak_amplitude,0.19452179721595633,0.431244328429771,False
F1_n8,rms,0.29439936757719065,0.4845351607293471,False
F1_n8,rms_dbfs,0.06576174380819956,0.3345003597818539,False
F1_n8,spectral_bandwidth_hz,0.4741705035377767,0.6655024611056515,False
F1_n8,spectral_centroid_hz,0.16007686970390272,0.431244328429771,False
F1_n8,spectral_flatness,0.634239337656143,0.7573007016789768,False
F1_n8,spectral_flux,0.022333608004758393,0.3345003597818539,False
F1_n8,spectral_rolloff_85_hz,0.15173994610386327,0.431244328429771,False
F1_n8,word_count_per_tr,0.02400012761018475,0.3345003597818539,False
F1_n8,zero_crossing_rate,0.18323962348031209,0.431244328429771,False
F2_n8,peak_amplitude,0.21780615298928924,0.4317824993943283,False
F2_n8,rms,0.22128853093959325,0.4317824993943283,False
F2_n8,rms_dbfs,0.029797723314033565,0.3345003597818539,False
F2_n8,spectral_bandwidth_hz,0.6251508507272094,0.7573007016789768,False
F2_n8,spectral_centroid_hz,0.16007449561286688,0.431244328429771,False
F2_n8,spectral_flatness,0.21208588688565366,0.4317824993943283,False
F2_n8,spectral_flux,0.05915753212149718,0.3345003597818539,False
F2_n8,spectral_rolloff_85_hz,0.17360511229480521,0.431244328429771,False
F2_n8,word_count_per_tr,0.006831155229640185,0.2732462091856074,False
F2_n8,zero_crossing_rate,0.19133404322434042,0.431244328429771,False
F3_n8,peak_amplitude,0.2681596220409015,0.47672821696160267,False
F3_n8,rms,0.644155342757671,0.7578298150090246,False
F3_n8,rms_dbfs,0.1994505018987691,0.431244328429771,False
F3_n8,spectral_bandwidth_hz,0.7860548112772544,0.8497889851645993,False
F3_n8,spectral_centroid_hz,0.6690310117006358,0.7756881295079836,False
F3_n8,spectral_flatness,0.5049060012815578,0.6964220707331833,False
F3_n8,spectral_flux,0.8533161258499158,0.9102038675732435,False
F3_n8,spectral_rolloff_85_hz,0.8835815888417994,0.9300858829913677,False
F3_n8,word_count_per_tr,0.06149311454819179,0.3345003597818539,False
F3_n8,zero_crossing_rate,0.7666454796504955,0.8401594297539676,False
F4_n8,peak_amplitude,0.19625955610385015,0.431244328429771,False
F4_n8,rms,0.29881635790068284,0.4845351607293471,False
F4_n8,rms_dbfs,0.1035694576011816,0.38380257510038085,False
F4_n8,spectral_bandwidth_hz,0.5449461230258305,0.7241941358721391,False
F4_n8,spectral_centroid_hz,0.4329847054446516,0.6297959351922204,False
F4_n8,spectral_flatness,0.052374400876842954,0.3345003597818539,False
F4_n8,spectral_flux,0.24319847978948236,0.44217905416269515,False
F4_n8,spectral_rolloff_85_hz,0.4577693005424469,0.653956143632067,False
F4_n8,word_count_per_tr,0.7010785299138993,0.8012326056158849,False
F4_n8,zero_crossing_rate,0.5612504553009078,0.7241941358721391,False
F5_n8,peak_amplitude,0.5569823195575517,0.7241941358721391,False
F5_n8,rms,0.33560261960836746,0.5163117224744115,False
F5_n8,rms_dbfs,0.3788742147505726,0.5718856071706756,False
F5_n8,spectral_bandwidth_hz,0.9844048596835892,0.9968656806922422,False
F5_n8,spectral_centroid_hz,0.10121258228800772,0.38380257510038085,False
F5_n8,spectral_flatness,0.21949361335245007,0.4317824993943283,False
F5_n8,spectral_flux,0.27776650422333643,0.4830721812579764,False
F5_n8,spectral_rolloff_85_hz,0.12109644272315685,0.4036548090771895,False
F5_n8,word_count_per_tr,0.13134198691420135,0.40412919050523494,False
F5_n8,zero_crossing_rate,0.11034324034135949,0.38380257510038085,False
F6_n8,peak_amplitude,0.6093161920068605,0.7499276209315205,False
F6_n8,rms,0.9990232010900149,0.9990232010900149,False
F6_n8,rms_dbfs,0.10987359553912557,0.38380257510038085,False
F6_n8,spectral_bandwidth_hz,0.29361248413324026,0.4845351607293471,False
F6_n8,spectral_centroid_hz,0.9526183282233287,0.9770444392034141,False
F6_n8,spectral_flatness,0.3088911649649588,0.4845351607293471,False
F6_n8,spectral_flux,0.08118265990941446,0.3499505671090657,False
F6_n8,spectral_rolloff_85_hz,0.9047275986409734,0.9399767258607515,False
F6_n8,word_count_per_tr,0.04389536266288924,0.3345003597818539,False
F6_n8,zero_crossing_rate,0.7146133137523103,0.8051981000026032,False
F7_n8,peak_amplitude,0.0602630863199193,0.3345003597818539,False
F7_n8,rms,0.07953428437820051,0.3499505671090657,False
F7_n8,rms_dbfs,0.05044090953425435,0.3345003597818539,False
F7_n8,spectral_bandwidth_hz,0.0365350579407487,0.3345003597818539,False
F7_n8,spectral_centroid_hz,0.046624522046128596,0.3345003597818539,False
F7_n8,spectral_flatness,0.30359832274853527,0.4845351607293471,False
F7_n8,spectral_flux,0.06690007195637078,0.3345003597818539,False
F7_n8,spectral_rolloff_85_hz,0.0831132596884031,0.3499505671090657,False
F7_n8,word_count_per_tr,0.00011254935884460625,0.0090039487075685,True
F7_n8,zero_crossing_rate,0.04800733570335928,0.3345003597818539,False
F8_n8,peak_amplitude,0.39934482539833216,0.5916219635530846,False
F8_n8,rms,0.5437890635851068,0.7241941358721391,False
F8_n8,rms_dbfs,0.2324462191137372,0.44217905416269515,False
F8_n8,spectral_bandwidth_hz,0.7536799829195308,0.837422203243923,False
F8_n8,spectral_centroid_hz,0.16732902592870844,0.431244328429771,False
F8_n8,spectral_flatness,0.6041318977470106,0.7499276209315205,False
F8_n8,spectral_flux,0.12975883299406082,0.40412919050523494,False
F8_n8,spectral_rolloff_85_hz,0.2426396964814344,0.44217905416269515,False
F8_n8,word_count_per_tr,0.5729676916909995,0.72757802119492,False
F8_n8,zero_crossing_rate,0.16943071887787453,0.431244328429771,False
