factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,-0.03605169468015244,-0.04100461525700882,-0.20366209279880398,0.04538497260280495
F1_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,10,-0.011045588832207593,-0.007149207439324239,-0.06314395331742921,0.032733209182923544
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,10,-0.026231077956108472,-0.03450332685124624,-0.083949228192744,0.030437408774930473
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,10,-0.012372633531938695,-0.024885921531509397,-0.07295194384558439,0.039997910836524916
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,10,0.005876161362383347,-0.0033469143566832948,-0.04905923645325752,0.0699583460116174
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,10,-0.009383508572940001,-0.005219195713320296,-0.07442408854313201,0.03485806437924767
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,10,0.005599230465564604,0.006393125229953666,-0.05545709571473419,0.07670857809227219
F1_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,-0.02686210746365638,-0.0333751230027849,-0.18559275707244818,0.04823169153637667
F1_n8,rms,collapsed_factor_vs_raw_feature,,10,-0.009061324920726338,-0.005431450157533602,-0.06641190905367636,0.033651308960560566
F1_n8,rms,individual_TENT_column_vs_raw_feature,1.5,10,-0.022912558717107536,-0.030506401388255458,-0.07671038739986612,0.023779036417244007
F1_n8,rms,individual_TENT_column_vs_raw_feature,3.0,10,-0.01252104721642171,-0.02270956396586734,-0.06153692854623019,0.03330347275185641
F1_n8,rms,individual_TENT_column_vs_raw_feature,4.5,10,0.005128657767359447,-0.001603505229597917,-0.042778329985740944,0.06761037806516373
F1_n8,rms,individual_TENT_column_vs_raw_feature,6.0,10,-0.006395842591634262,-0.0031200370923483377,-0.07686365032697436,0.02855821053811561
F1_n8,rms,individual_TENT_column_vs_raw_feature,7.5,10,0.007093320334390008,0.004289989247273031,-0.06009606564255884,0.06960730640629326
F1_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,-0.03534632541402642,-0.058804672516091346,-0.13585770956158966,0.0432786781158761
F1_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,10,-0.0008789662910168331,0.0025438380539380984,-0.06388935196449311,0.05903844279797579
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,10,-0.00978214768964222,-0.022770082057932656,-0.06850531595640325,0.03306132738120405
