factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,213,-0.05514011628140439,-0.06259989256090544,-0.203662092798804,0.04609812126951225
F1_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,213,-0.010658139585700242,-0.006124928613862084,-0.06314395331742922,0.032733209182923495
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,213,-0.02878014123687293,-0.03202824286440114,-0.08394922819274403,0.030437408774930477
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,213,-0.015835952930272616,-0.028543001806804708,-0.07295194384558437,0.039997910836524896
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,213,0.006706127277101434,-0.004468467685735687,-0.04905923645325753,0.06995834601161749
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,213,-0.005802571524534292,-0.001285744674638189,-0.07442408854313201,0.03485806437924767
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,213,0.007747697489815275,0.005743736632268949,-0.05545709571473416,0.07670857809227224
F1_n8,rms,collapsed_factor_vs_matching_FIR_feature,,213,-0.04306674228706127,-0.053237333213367294,-0.18559275707244827,0.048935423419270686
F1_n8,rms,collapsed_factor_vs_raw_feature,,213,-0.006732589197396932,-0.002390037280608309,-0.06641190905367632,0.033651308960560546
F1_n8,rms,individual_TENT_column_vs_raw_feature,1.5,213,-0.02371030152470573,-0.026118142108508755,-0.07671038739986616,0.023779036417243993
F1_n8,rms,individual_TENT_column_vs_raw_feature,3.0,213,-0.014262277754177708,-0.02445139967003043,-0.0615369285462302,0.03330347275185645
F1_n8,rms,individual_TENT_column_vs_raw_feature,4.5,213,0.005136464993344082,-0.00304389489583524,-0.04277832998574092,0.06761037806516373
F1_n8,rms,individual_TENT_column_vs_raw_feature,6.0,213,-0.0011067992720769416,0.004177298138566864,-0.07686365032697437,0.02855821053811562
F1_n8,rms,individual_TENT_column_vs_raw_feature,7.5,213,0.011131082217270145,0.006531864130352313,-0.06009606564255884,0.0696073064062933
F1_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,213,-0.0475116072204528,-0.0807198690566145,-0.13585770956158952,0.043278678115876074
F1_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,213,0.0005619603195290914,0.004168887649027608,-0.0638893519644931,0.05903844279797576
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,213,-0.008879713925765231,-0.017170780334753354,-0.06850531595640323,0.03306132738120404
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,3.0,213,0.0020144031141339077,-0.010051414721618104,-0.03839455611282066,0.05165628922834509
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,4.5,213,0.008439069992839337,0.005324486033175976,-0.048175053683172014,0.09442656847883275
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,6.0,213,-0.003267155241399916,0.006447526615830485,-0.06904513976946464,0.03417832657850062
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,7.5,213,-0.0023168869408265722,0.0064601584350299545,-0.052046531749364446,0.03748992874782902
F1_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,213,0.0035009222379592145,-0.0030975109292317327,-0.1897762621801356,0.055576023225858716
F1_n8,spectral_bandwidth_hz,collapsed_factor_vs_raw_feature,,213,-0.024991914712515304,-0.047314729508298736,-0.10301897285763849,0.07983829869867448
F1_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,1.5,213,-0.014982810784280745,-0.03684539770936694,-0.07336607542014177,0.0754359283452874
F1_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,3.0,213,-0.031146310585712718,-0.05207651951016422,-0.07662996781229711,0.020336809496118373
F1_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,4.5,213,-0.02214327326478693,-0.03949966390924399,-0.11237983198205818,0.0345206867329349
F1_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,6.0,213,-0.00011177871688820158,-0.013533048816331899,-0.06542429477595052,0.0843099826222382
F1_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,7.5,213,0.00022980009582339713,-0.007736893929355419,-0.03320903089681124,0.07325377834882037
F1_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,213,-0.02027266433090794,-0.0397117151628349,-0.23294821343821057,0.06607703618728458
F1_n8,spectral_centroid_hz,collapsed_factor_vs_raw_feature,,213,0.0006349244282688155,-0.01600654665442843,-0.117291002877942,0.08020622045121906
F1_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,1.5,213,-0.001061198701183925,-0.020005274099633662,-0.06245799161569706,0.06810257545542357
F1_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,3.0,213,-0.011973916118446977,-0.03862350981469876,-0.08776056913275601,0.0437320582896984
F1_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,4.5,213,-0.002325260995376618,-0.014085474575225678,-0.10137958928003105,0.05493546291830479
F1_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,6.0,213,0.010690499216665273,-0.013420754405050006,-0.06433051257782274,0.08902545645360802
F1_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,7.5,213,0.011468812400257964,0.006185624878372299,-0.04488114778531573,0.07266798030926837
F1_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,213,0.008262802192727209,0.004235125504957503,-0.06085795478401203,0.055978417914799176
F1_n8,spectral_flatness,collapsed_factor_vs_raw_feature,,213,-0.01713562849163211,-0.041684128966422436,-0.0925476992526366,0.07851321417010633
F1_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,1.5,213,-0.012524348679158111,-0.030985455416843073,-0.04855928763400848,0.06948451133916335
