label,subID,task,event,nosmooth_clean
21styear,sub-075,21styear,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-075/func/sub-075_task-21styear_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-075/func/sub-075_task-21styear_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
black,sub-127,black,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-127/func/sub-127_task-black_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-127/func/sub-127_task-black_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
bronx,sub-265,bronx,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-265/func/sub-265_task-bronx_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-265/func/sub-265_task-bronx_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
forgot,sub-265,forgot,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-265/func/sub-265_task-forgot_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-265/func/sub-265_task-forgot_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
milkywayoriginal,sub-034,milkyway,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-034/func/sub-034_task-milkyway_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-034/func/sub-034_task-milkyway_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
milkywayvodka,sub-023,milkyway,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-023/func/sub-023_task-milkyway_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-023/func/sub-023_task-milkyway_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
piemanpni,sub-127,piemanpni,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-127/func/sub-127_task-piemanpni_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-127/func/sub-127_task-piemanpni_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
prettymouth,sub-023,prettymouth,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-023/func/sub-023_task-prettymouth_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-023/func/sub-023_task-prettymouth_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
shapessocial,sub-049,shapessocial,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-049/func/sub-049_task-shapessocial_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-049/func/sub-049_task-shapessocial_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
slumlordreach,sub-136,slumlordreach,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/sub-136/func/sub-136_task-slumlordreach_events.tsv,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/derivatives/afni-nosmooth/sub-136/func/sub-136_task-slumlordreach_space-MNI152NLin2009cAsym_res-native_desc-clean_bold.nii.gz
