factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,-0.03579029903361964,-0.04069828392422473,-0.203662092798804,0.045622688825040746
F1_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,10,-0.010981799236889056,-0.006888563228324419,-0.06243579634052172,0.032733209182923495
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,10,-0.026204803938998347,-0.03441924754791266,-0.08394922819274403,0.03043740877493048
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,10,-0.012369062077043356,-0.02481029923593711,-0.07295194384558437,0.039997910836524896
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,10,0.005868651609346662,-0.0033222076291405185,-0.04905923645325753,0.06995834601161749
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,10,-0.009330634266272933,-0.004918323719996868,-0.07382800483470503,0.03485806437924767
F1_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,10,0.005740291074572791,0.006883987159051047,-0.054066041685188804,0.07670857809227224
F1_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,-0.026607948774281517,-0.03308402490942447,-0.1855927570724483,0.04846626883067467
F1_n8,rms,collapsed_factor_vs_raw_feature,,10,-0.00899674639711862,-0.005169643496581,-0.06570150348462399,0.033651308960560546
F1_n8,rms,individual_TENT_column_vs_raw_feature,1.5,10,-0.02288954048324372,-0.03041984290010842,-0.07671038739986616,0.023779036417243993
F1_n8,rms,individual_TENT_column_vs_raw_feature,3.0,10,-0.012517805065232543,-0.022633135838397395,-0.0615369285462302,0.03330347275185645
F1_n8,rms,individual_TENT_column_vs_raw_feature,4.5,10,0.0051246431363676445,-0.0015735469631549394,-0.04277832998574092,0.06761037806516373
F1_n8,rms,individual_TENT_column_vs_raw_feature,6.0,10,-0.006341812707717812,-0.002822679247850954,-0.07626997732850102,0.02855821053811562
F1_n8,rms,individual_TENT_column_vs_raw_feature,7.5,10,0.007234232818117402,0.004785537866644558,-0.05870416840657148,0.0696073064062933
F1_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,-0.03522576143406513,-0.058536482427358684,-0.13585770956158952,0.043278678115876074
F1_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,10,-0.0007927668089914462,0.0028024010792696776,-0.06328876413151886,0.05903844279797575
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,10,-0.009736543975711458,-0.022705499457084236,-0.06803813531745725,0.03306132738120404
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,3.0,10,0.0020510031765910695,-0.009454274892117876,-0.03839455611282066,0.05165628922834509
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,4.5,10,0.011895066101365901,0.00856157923845463,-0.048175053683172014,0.09442656847883275
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,6.0,10,-0.0062776621121370425,0.0025482642570242822,-0.06834922105664973,0.03417832657850062
F1_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,7.5,10,-0.007216571988240618,0.005606117850837665,-0.05045747385236734,0.03748992874782902
F1_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.017013327582814698,-0.02531280121786118,-0.18620793298528301,0.055576023225858716
F1_n8,spectral_bandwidth_hz,collapsed_factor_vs_raw_feature,,10,-0.031717227496346506,-0.05552753910927487,-0.10301897285763849,0.07965651656517259
F1_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,1.5,10,-0.017161753351716748,-0.031151191650094605,-0.07257567548160243,0.07511256457075657
