story,audio_file,status,sample_rate_hz,n_frames,audio_duration_s,feature_file
21styear,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/21styear_audio.wav,complete,44100,337424,3374.2549886621314,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/21styear_framewise_acoustic_features.csv.gz
black,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/black_audio.wav,complete,44100,79999,800.0049886621315,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/black_framewise_acoustic_features.csv.gz
bronx,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/bronx_audio.wav,complete,16000,56099,561.005,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/bronx_framewise_acoustic_features.csv.gz
forgot,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/forgot_audio.wav,complete,44100,83699,837.0049886621315,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/forgot_framewise_acoustic_features.csv.gz
milkywayoriginal,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/milkywayoriginal_audio.wav,complete,48000,43799,438.005,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/milkywayoriginal_framewise_acoustic_features.csv.gz
milkywayvodka,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/milkywayvodka_audio.wav,complete,48000,43799,438.005,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/milkywayvodka_framewise_acoustic_features.csv.gz
piemanpni,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/piemanpni_audio.wav,complete,16000,41539,415.405,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/piemanpni_framewise_acoustic_features.csv.gz
prettymouth,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/prettymouth_audio.wav,complete,44100,71199,712.0049886621315,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/prettymouth_framewise_acoustic_features.csv.gz
shapessocial,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/shapessocial_audio.wav,complete,48000,45753,457.54499999999996,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/shapessocial_framewise_acoustic_features.csv.gz
slumlordreach,/work/desai-lab/xuanyang/Project/dataset/Nastase/narratives/stimuli/slumlordreach_audio.wav,complete,44100,180161,1801.6249886621315,/work/desai-lab/xuanyang/Project/Semantic/dissemination/github/DiscoFMRI/data/fMRI/framewise_acoustic_features/slumlordreach_framewise_acoustic_features.csv.gz
