iFA,ROI_idx,ROI_value,significant,alpha,label,p_value,alpha_FDR,p_value_FDR,significant_FDR,label_FDR,Reordered,Region,RegionLongName,Cortical Division,Cortex,Original,Voxel numbers,LR,idx,#No.
1,1.0,-2.8549890518188477,0,0.001,,0.002151915626463587,0.005,0.033682157631603975,0,,"1, 181",V1,Primary_Visual_Cortex,Primary_Visual,1.0,1.0,"13,812, 13,406",idx_L,1,1.0
1,2.0,-1.3970768451690674,0,0.001,,0.08119523197343742,0.005,0.28106041836959106,0,,"2, 182",V2,Second_Visual_Area,Early_Visual,2.0,4.0,"9515, 9420",idx_L,2,2.0
1,3.0,-0.8567498922348022,0,0.001,,0.19579156175059703,0.005,0.37728185280622795,0,,"3, 183",V3,Third_Visual_Area,Early_Visual,2.0,5.0,"7106, 7481",idx_L,3,3.0
1,4.0,-0.9005528092384338,0,0.001,,0.18391306755563647,0.005,0.36988102972083314,0,,"4, 184",V4,Fourth_Visual_Area,Early_Visual,2.0,6.0,"4782, 4537",idx_L,4,4.0
1,5.0,-1.1296111345291138,0,0.001,,0.12932005857726603,0.005,0.3378853578319274,0,,"5, 185",IPS1,IntraParietal_Sulcus_Area_1,Dorsal_Stream_Visual,3.0,17.0,"1751, 1750",idx_L,5,5.0
1,6.0,0.09095761924982071,0,0.001,,0.46376313317369383,0.005,0.4974920820200491,0,,"6, 186",V3A,Area_V3A,Dorsal_Stream_Visual,3.0,13.0,"2191, 2212",idx_L,6,6.0
1,7.0,0.017109114676713943,0,0.001,,0.4931747837584495,0.005,0.4974920820200491,0,,"7, 187",V3B,Area_V3B,Dorsal_Stream_Visual,3.0,19.0,"639, 731",idx_L,7,7.0
1,8.0,1.4523752927780151,0,0.001,,0.07319864118390193,0.005,0.27166506006396596,0,,"8, 188",V6,Sixth_Visual_Area,Dorsal_Stream_Visual,3.0,3.0,"1402, 1559",idx_L,8,8.0
1,9.0,2.8346164226531982,0,0.001,,0.002294036850904234,0.005,0.03441055276356351,0,,"9, 189",V6A,Area_V6A,Dorsal_Stream_Visual,3.0,152.0,"904, 734",idx_L,9,9.0
1,10.0,-0.9187994599342346,0,0.001,,0.179100237507907,0.005,0.3674642993830026,0,,"10, 190",V7,Seventh_Visual_Area,Dorsal_Stream_Visual,3.0,16.0,"1005, 1041",idx_L,10,10.0
1,11.0,-4.777542591094971,1,0.001,-,8.87252361268696e-07,0.005,5.323514167612176e-05,1,-,"11, 191",FFC,Fusiform_Face_Complex,Ventral_Stream_Visual,4.0,18.0,"3848, 4402",idx_L,11,11.0
1,12.0,-0.14028756320476532,0,0.001,,0.4442163951377358,0.005,0.49432474986532554,0,,"12, 192",PIT,Posterior_InferoTemporal_complex,Ventral_Stream_Visual,4.0,22.0,"1392, 1386",idx_L,12,12.0
1,13.0,-1.4796693325042725,0,0.001,,0.0694807568486499,0.005,0.26667384525658505,0,,"13, 193",V8,Eighth_Visual_Area,Ventral_Stream_Visual,4.0,7.0,"1361, 1175",idx_L,13,13.0
1,14.0,0.6965866684913635,0,0.001,,0.24303075066025737,0.005,0.3958871956456681,0,,"14, 194",VMV1,VentroMedial_Visual_Area_1,Ventral_Stream_Visual,4.0,153.0,"939, 1219",idx_L,14,14.0
1,15.0,0.04390827566385269,0,0.001,,0.48248875931938995,0.005,0.4974920820200491,0,,"15, 195",VMV2,VentroMedial_Visual_Area_2,Ventral_Stream_Visual,4.0,160.0,"639, 923",idx_L,15,15.0
1,16.0,0.0342642143368721,0,0.001,,0.4863332304627108,0.005,0.4974920820200491,0,,"16, 196",VMV3,VentroMedial_Visual_Area_3,Ventral_Stream_Visual,4.0,154.0,"941, 1242",idx_L,16,16.0
1,17.0,-0.8335474729537964,0,0.001,,0.20226801784814963,0.005,0.3806287991289621,0,,"17, 197",VVC,Ventral_Visual_Complex,Ventral_Stream_Visual,4.0,163.0,"2487, 2753",idx_L,17,17.0
1,18.0,-2.326462507247925,0,0.001,,0.009996945186812139,0.005,0.0856881016012469,0,,"18, 198",FST,Area_FST,MT + _Complex,5.0,157.0,"1324, 1683",idx_L,18,18.0
1,19.0,-0.46985527873039246,0,0.001,,0.31922920864324433,0.005,0.4366988324523116,0,,"19, 199",LO1,Area_Lateral_Occipital_1,MT + _Complex,5.0,20.0,"619, 909",idx_L,19,19.0
1,20.0,-0.016184331849217415,0,0.001,,0.4935436676005159,0.005,0.4974920820200491,0,,"20, 200",LO2,Area_Lateral_Occipital_2,MT + _Complex,5.0,21.0,"1179, 1062",idx_L,20,20.0
1,21.0,0.9747582674026489,0,0.001,,0.16484009125605575,0.005,0.3596511081950307,0,,"21, 201",LO3,Area_Lateral_Occipital_3,MT + _Complex,5.0,159.0,"438, 915",idx_L,21,21.0
1,22.0,-2.5555200576782227,0,0.001,,0.00530146250495812,0.005,0.06361755005949744,0,,"22, 202",MST,Medial_Superior_Temporal_Area,MT + _Complex,5.0,2.0,"794, 1036",idx_L,22,22.0
1,23.0,-1.3825104236602783,0,0.001,,0.08340751607570612,0.005,0.2859686265452781,0,,"23, 203",MT,Middle_Temporal_Area,MT + _Complex,5.0,23.0,"620, 1005",idx_L,23,23.0
1,24.0,-3.4277641773223877,1,0.001,-,0.00030428693062613997,0.005,0.00684645593908815,0,,"24, 204",PH,Area_PH,MT + _Complex,5.0,138.0,"3453, 3205",idx_L,24,24.0
1,25.0,-0.40176859498023987,0,0.001,,0.3439271683377241,0.005,0.44540533285838707,0,,"25, 205",V3CD,Area_V3CD,MT + _Complex,5.0,158.0,"876, 1222",idx_L,25,25.0
1,26.0,-3.495797634124756,1,0.001,-,0.00023632350288851973,0.005,0.006076890074276222,0,,"26, 206",V4t,Area_V4t,MT + _Complex,5.0,156.0,"1037, 1249",idx_L,26,26.0
1,27.0,0.13890571892261505,0,0.001,,0.4447623258679414,0.005,0.49432474986532554,0,,"27, 207",1,Area_1,SomaSens_Motor,6.0,51.0,"6590, 5925",idx_L,27,27.0
1,28.0,-1.4283777475357056,0,0.001,,0.07659158028200422,0.005,0.2757296890152152,0,,"28, 208",2,Area_2,SomaSens_Motor,6.0,52.0,"4278, 4727",idx_L,28,28.0
1,29.0,0.17867755889892578,0,0.001,,0.42909544550251233,0.005,0.4940563333989829,0,,"29, 209",3a,Area_3a,SomaSens_Motor,6.0,53.0,"2247, 2286",idx_L,29,29.0
1,30.0,-0.6424558758735657,0,0.001,,0.2602886149721655,0.005,0.40044402303410076,0,,"30, 210",3b,Primary_Sensory_Cortex,SomaSens_Motor,6.0,9.0,"5451, 4350",idx_L,30,30.0
1,31.0,-0.6553287506103516,0,0.001,,0.2561280569039522,0.005,0.40044402303410076,0,,"31, 211",4,Primary_Motor_Cortex,SomaSens_Motor,6.0,8.0,"10,776, 10,254",idx_L,31,31.0
1,32.0,0.46701154112815857,0,0.001,,0.32024581046502854,0.005,0.4366988324523116,0,,"32, 212",23c,Area_23c,ParaCentral_MidCing,7.0,38.0,"2259, 2498",idx_L,32,32.0
1,33.0,0.6858403086662292,0,0.001,,0.24640690734444276,0.005,0.396011101089283,0,,"33, 213",24dd,Dorsal_Area_24d,ParaCentral_MidCing,7.0,40.0,"2665, 2820",idx_L,33,33.0
1,34.0,0.7128488421440125,0,0.001,,0.23796964920302482,0.005,0.3938089901025947,0,,"34, 214",24dv,Ventral_Area_24d,ParaCentral_MidCing,7.0,41.0,"1076, 1349",idx_L,34,34.0
1,35.0,-1.1504648923873901,0,0.001,,0.12497622302450012,0.005,0.3357570170807466,0,,"35, 215",5L,Area_5L,ParaCentral_MidCing,7.0,39.0,"2249, 2327",idx_L,35,35.0
1,36.0,1.4995460510253906,0,0.001,,0.06686601566836461,0.005,0.26452489714957433,0,,"36, 216",5 m,Area_5m,ParaCentral_MidCing,7.0,36.0,"1483, 2079",idx_L,36,36.0
1,37.0,0.4158425033092499,0,0.001,,0.3387626274242704,0.005,0.44347107590086304,0,,"37, 217",5mv,Area_5m_ventral,ParaCentral_MidCing,7.0,37.0,"1651, 1996",idx_L,37,37.0
1,38.0,-2.232462167739868,0,0.001,,0.01279221648222238,0.005,0.09594162361666786,0,,"38, 218",6ma,Area_6m_anterior,ParaCentral_MidCing,7.0,44.0,"3941, 4251",idx_L,38,38.0
1,39.0,-1.124951720237732,0,0.001,,0.13030474676870046,0.005,0.3378853578319274,0,,"39, 219",6mp,Area_6mp,ParaCentral_MidCing,7.0,55.0,"3701, 3105",idx_L,39,39.0
1,40.0,-0.3734985291957855,0,0.001,,0.3543887198979167,0.005,0.4476489093447369,0,,"40, 220",SCEF,Supplementary_and_Cingulate_Eye_Field,ParaCentral_MidCing,7.0,43.0,"3500, 3371",idx_L,40,40.0
1,41.0,-1.641496181488037,0,0.001,,0.05034722954263503,0.005,0.22831778468294725,0,,"41, 221",55b,Area_55b,Premotor,8.0,12.0,"2422, 1537",idx_L,41,41.0
1,42.0,-2.2897121906280518,0,0.001,,0.011019003130924188,0.005,0.09015548016210699,0,,"42, 222",6a,Area_6_anterior,Premotor,8.0,96.0,"4233, 3752",idx_L,42,42.0
1,43.0,0.1066434234380722,0,0.001,,0.4575359340363169,0.005,0.4974920820200491,0,,"43, 223",6d,Dorsal_area_6,Premotor,8.0,54.0,"2916, 2909",idx_L,43,43.0
1,44.0,-2.4921023845672607,0,0.001,,0.00634947128156079,0.005,0.06530884746748242,0,,"44, 224",6r,Rostral_Area_6,Premotor,8.0,78.0,"3029, 3981",idx_L,44,44.0
1,45.0,-3.0027644634246826,0,0.001,,0.0013376970281384528,0.005,0.021889587733174683,0,,"45, 225",6v,Ventral_Area_6,Premotor,8.0,56.0,"2075, 2516",idx_L,45,45.0
1,46.0,-1.2273938655853271,0,0.001,,0.10983729546530058,0.005,0.3167804138720889,0,,"46, 226",FEF,Frontal_Eye_Fields,Premotor,8.0,10.0,"1787, 1889",idx_L,46,46.0
1,47.0,-1.0798566341400146,0,0.001,,0.1401030134703537,0.005,0.33824471812334445,0,,"47, 227",PEF,Premotor_Eye_Field,Premotor,8.0,11.0,"1006, 1258",idx_L,47,47.0
1,48.0,-0.04465650022029877,0,0.001,,0.48219055343933015,0.005,0.4974920820200491,0,,"48, 228",43,Area_43,Posterior_Opercular,9.0,99.0,"1889, 1678",idx_L,48,48.0
1,49.0,2.3791699409484863,0,0.001,,0.008675837201427889,0.005,0.07617808274424488,0,,"49, 229",FOP1,Frontal_Opercular_Area_1,Posterior_Opercular,9.0,113.0,"879, 932",idx_L,49,49.0
1,50.0,0.7876149415969849,0,0.001,,0.21546098610326953,0.005,0.3938089901025947,0,,"50, 230",OP1,Area_OP1-SII,Posterior_Opercular,9.0,101.0,"1275, 1072",idx_L,50,50.0
1,51.0,0.5849948525428772,0,0.001,,0.27927558895625515,0.005,0.4102135954881025,0,,"51, 231",OP2-3,Area_OP2-3-VS,Posterior_Opercular,9.0,102.0,"943, 792",idx_L,51,51.0
1,52.0,0.3893265724182129,0,0.001,,0.34851729096457096,0.005,0.44540533285838707,0,,"52, 232",OP4,Area_OP4-PV,Posterior_Opercular,9.0,100.0,"2332, 2409",idx_L,52,52.0
1,53.0,0.30532917380332947,0,0.001,,0.3800577293168076,0.005,0.4681798239754462,0,,"53, 233",52,Area_52,Early_Auditory,10.0,103.0,"725, 580",idx_L,53,53.0
1,54.0,-1.440302848815918,0,0.001,,0.07489086789218125,0.005,0.2736782569335929,0,,"54, 234",A1,Primary_Auditory_Cortex,Early_Auditory,10.0,24.0,"1023, 796",idx_L,54,54.0
1,55.0,-0.8447651863098145,0,0.001,,0.19912097786995364,0.005,0.37728185280622795,0,,"55, 235",LBelt,Lateral_Belt_Complex,Early_Auditory,10.0,174.0,"820, 901",idx_L,55,55.0
1,56.0,-0.41159316897392273,0,0.001,,0.3403188196599721,0.005,0.44389411259996364,0,,"56, 236",MBelt,Medial_Belt_Complex,Early_Auditory,10.0,173.0,"1242, 1236",idx_L,56,56.0
1,57.0,-0.5162976384162903,0,0.001,,0.3028232726921228,0.005,0.428032039258335,0,,"57, 237",PBelt,ParaBelt_Complex,Early_Auditory,10.0,124.0,"1719, 1439",idx_L,57,57.0
1,58.0,0.2062770575284958,0,0.001,,0.4182872492989682,0.005,0.4901898333730647,0,,"58, 238",PFcm,Area_PFcm,Early_Auditory,10.0,105.0,"1486, 1485",idx_L,58,58.0
1,59.0,-0.16538786888122559,0,0.001,,0.43431935071018635,0.005,0.4942943292606343,0,,"59, 239",RI,RetroInsular_Cortex,Early_Auditory,10.0,104.0,"1149, 1334",idx_L,59,59.0
1,60.0,-0.830946147441864,0,0.001,,0.2030020262021131,0.005,0.3806287991289621,0,,"60, 240",A4,Auditory_4_Complex,Auditory_Association,11.0,175.0,"3514, 3610",idx_L,60,60.0
1,61.0,-0.8657515645027161,0,0.001,,0.1933132079394445,0.005,0.37728185280622795,0,,"61, 241",A5,Auditory_5_Complex,Auditory_Association,11.0,125.0,"3346, 3881",idx_L,61,61.0
1,62.0,0.741191565990448,0,0.001,,0.22928864823264672,0.005,0.3938089901025947,0,,"62, 242",STGa,Area_STGa,Auditory_Association,11.0,123.0,"2509, 2187",idx_L,62,62.0
1,63.0,1.1197983026504517,0,0.001,,0.13139986137908288,0.005,0.3378853578319274,0,,"63, 243",STSda,Area_STSd_anterior,Auditory_Association,11.0,128.0,"1944, 2389",idx_L,63,63.0
1,64.0,0.002479574643075466,0,0.001,,0.49901079385112046,0.005,0.49901079385112046,0,,"64, 244",STSdp,Area_STSd_posterior,Auditory_Association,11.0,129.0,"1994, 2605",idx_L,64,64.0
1,65.0,1.9354408979415894,0,0.001,,0.026468107339366106,0.005,0.16316989598177958,0,,"65, 245",STSva,Area_STSv_anterior,Auditory_Association,11.0,176.0,"1694, 1900",idx_L,65,65.0
1,66.0,0.7138921022415161,0,0.001,,0.2376469506782496,0.005,0.3938089901025947,0,,"66, 246",STSvp,Area_STSv_posterior,Auditory_Association,11.0,130.0,"2898, 2515",idx_L,66,66.0
1,67.0,-0.4864223301410675,0,0.001,,0.31333388074722945,0.005,0.43053510331680384,0,,"67, 247",TA2,Area_TA2,Auditory_Association,11.0,107.0,"1518, 1726",idx_L,67,67.0
1,68.0,0.4983058273792267,0,0.001,,0.3091342505754642,0.005,0.428032039258335,0,,"68, 248",AAIC,Anterior_Agranular_Insula_Complex,Insula_FrontalOperc,12.0,112.0,"1859, 1691",idx_L,68,68.0
1,69.0,1.4769905805587769,0,0.001,,0.06983908112063894,0.005,0.26667384525658505,0,,"69, 249",AVI,Anterior_Ventral_Insular_Area,Insula_FrontalOperc,12.0,111.0,"1446, 1792",idx_L,69,69.0
1,70.0,1.4574044942855835,0,0.001,,0.07250237861247677,0.005,0.27166506006396596,0,,"70, 250",FOP2,Frontal_Opercular_Area_2,Insula_FrontalOperc,12.0,115.0,"750, 720",idx_L,70,70.0
1,71.0,0.8461204767227173,0,0.001,,0.19874276934701662,0.005,0.37728185280622795,0,,"71, 251",FOP3,Frontal_Opercular_Area_3,Insula_FrontalOperc,12.0,114.0,"754, 614",idx_L,71,71.0
1,72.0,1.28329598903656,0,0.001,,0.09969419868942975,0.005,0.30652970624093956,0,,"72, 252",FOP4,Frontal_Opercular_Area_4,Insula_FrontalOperc,12.0,108.0,"2522, 1678",idx_L,72,72.0
1,73.0,0.416931688785553,0,0.001,,0.3383641870962695,0.005,0.44347107590086304,0,,"73, 253",FOP5,Area_Frontal_Opercular_5,Insula_FrontalOperc,12.0,169.0,"1297, 1365",idx_L,73,73.0
1,74.0,-0.08704783767461777,0,0.001,,0.4653167437115398,0.005,0.4974920820200491,0,,"74, 254",Ig,Insular_Granular_Complex,Insula_FrontalOperc,12.0,168.0,"841, 1077",idx_L,74,74.0
1,75.0,0.6891460418701172,0,0.001,,0.24536568423466665,0.005,0.396011101089283,0,,"75, 255",MI,Middle_Insular_Area,Insula_FrontalOperc,12.0,109.0,"2102, 1960",idx_L,75,75.0
