iFA,ROI_idx,ROI_value,significant,alpha,label,p_value,alpha_FDR,p_value_FDR,significant_FDR,label_FDR,Reordered,Region,RegionLongName,Cortical Division,Cortex,Original,Voxel numbers,LR,idx,#No.
1,1.0,-1.0099431276321411,0,0.001,,0.15626126925068978,0.005,0.2601297503959798,0,,"1, 181",V1,Primary_Visual_Cortex,Primary_Visual,1.0,1.0,"13,812, 13,406",idx_L,1,1.0
1,2.0,0.02548382245004177,0,0.001,,0.48983452605617844,0.005,0.4925710317883359,0,,"2, 182",V2,Second_Visual_Area,Early_Visual,2.0,4.0,"9515, 9420",idx_L,2,2.0
1,3.0,-0.02688639424741268,0,0.001,,0.4892751727066968,0.005,0.4925710317883359,0,,"3, 183",V3,Third_Visual_Area,Early_Visual,2.0,5.0,"7106, 7481",idx_L,3,3.0
1,4.0,-1.1943360567092896,0,0.001,,0.11617326931956712,0.005,0.22485148900561377,0,,"4, 184",V4,Fourth_Visual_Area,Early_Visual,2.0,6.0,"4782, 4537",idx_L,4,4.0
1,5.0,-1.7444332838058472,0,0.001,,0.04054178271935495,0.005,0.12264740990729228,0,,"5, 185",IPS1,IntraParietal_Sulcus_Area_1,Dorsal_Stream_Visual,3.0,17.0,"1751, 1750",idx_L,5,5.0
1,6.0,0.8298894762992859,0,0.001,,0.20330063770147594,0.005,0.3024307007129394,0,,"6, 186",V3A,Area_V3A,Dorsal_Stream_Visual,3.0,13.0,"2191, 2212",idx_L,6,6.0
1,7.0,-0.7375322580337524,0,0.001,,0.23039936688685858,0.005,0.3214874886793376,0,,"7, 187",V3B,Area_V3B,Dorsal_Stream_Visual,3.0,19.0,"639, 731",idx_L,7,7.0
1,8.0,1.8986232280731201,0,0.001,,0.02880701605833842,0.005,0.09604194892485643,0,,"8, 188",V6,Sixth_Visual_Area,Dorsal_Stream_Visual,3.0,3.0,"1402, 1559",idx_L,8,8.0
1,9.0,1.0205518007278442,0,0.001,,0.15373341761222203,0.005,0.2601297503959798,0,,"9, 189",V6A,Area_V6A,Dorsal_Stream_Visual,3.0,152.0,"904, 734",idx_L,9,9.0
1,10.0,-0.7344112992286682,0,0.001,,0.23134905116847737,0.005,0.3215662487283856,0,,"10, 190",V7,Seventh_Visual_Area,Dorsal_Stream_Visual,3.0,16.0,"1005, 1041",idx_L,10,10.0
