iFA,ROI_idx,ROI_value,significant,alpha,label,p_value,alpha_FDR,p_value_FDR,significant_FDR,label_FDR,Reordered,Region,RegionLongName,Cortical Division,Cortex,Original,Voxel numbers,LR,idx,#No.
1,1.0,-0.6571158766746521,0,0.001,,0.255553205495998,0.005,0.3012377135303023,0,,"1, 181",V1,Primary_Visual_Cortex,Primary_Visual,1.0,1.0,"13,812, 13,406",idx_L,1,1.0
1,2.0,-1.9265682697296143,0,0.001,,0.027016728089203555,0.005,0.052858815826702606,0,,"2, 182",V2,Second_Visual_Area,Early_Visual,2.0,4.0,"9515, 9420",idx_L,2,2.0
1,3.0,-3.278919219970703,1,0.001,-,0.0005210273005928158,0.005,0.001720824112049667,1,-,"3, 183",V3,Third_Visual_Area,Early_Visual,2.0,5.0,"7106, 7481",idx_L,3,3.0
1,4.0,-4.629737377166748,1,0.001,-,1.8306489570014782e-06,0.005,1.3180672490410644e-05,1,-,"4, 184",V4,Fourth_Visual_Area,Early_Visual,2.0,6.0,"4782, 4537",idx_L,4,4.0
1,5.0,-1.3784735202789307,0,0.001,,0.08402856895290478,0.005,0.13102393331267215,0,,"5, 185",IPS1,IntraParietal_Sulcus_Area_1,Dorsal_Stream_Visual,3.0,17.0,"1751, 1750",idx_L,5,5.0
1,6.0,-3.076033115386963,0,0.001,,0.001048872727328574,0.005,0.003069871397059241,1,,"6, 186",V3A,Area_V3A,Dorsal_Stream_Visual,3.0,13.0,"2191, 2212",idx_L,6,6.0
1,7.0,-4.512139797210693,1,0.001,-,3.208843211625721e-06,0.005,2.1392288077504808e-05,1,-,"7, 187",V3B,Area_V3B,Dorsal_Stream_Visual,3.0,19.0,"639, 731",idx_L,7,7.0
1,8.0,-2.7193095684051514,0,0.001,,0.003270917575345412,0.005,0.00847144120233344,0,,"8, 188",V6,Sixth_Visual_Area,Dorsal_Stream_Visual,3.0,3.0,"1402, 1559",idx_L,8,8.0
1,9.0,-1.7135311365127563,0,0.001,,0.043307435097039264,0.005,0.0776618931332113,0,,"9, 189",V6A,Area_V6A,Dorsal_Stream_Visual,3.0,152.0,"904, 734",idx_L,9,9.0
1,10.0,-3.2305355072021484,1,0.001,-,0.0006177927815538591,0.005,0.0020036522644990024,1,-,"10, 190",V7,Seventh_Visual_Area,Dorsal_Stream_Visual,3.0,16.0,"1005, 1041",idx_L,10,10.0
1,11.0,4.465158462524414,1,0.001,+,4.000475578110653e-06,0.005,2.5413557484077133e-05,1,+,"11, 191",FFC,Fusiform_Face_Complex,Ventral_Stream_Visual,4.0,18.0,"3848, 4402",idx_L,11,11.0
1,12.0,-5.160191535949707,1,0.001,-,1.2334865995603283e-07,0.005,1.3888322081354047e-06,1,-,"12, 192",PIT,Posterior_InferoTemporal_complex,Ventral_Stream_Visual,4.0,22.0,"1392, 1386",idx_L,12,12.0
1,13.0,-4.909898281097412,1,0.001,-,4.556182371293465e-07,0.005,4.20570680427089e-06,1,-,"13, 193",V8,Eighth_Visual_Area,Ventral_Stream_Visual,4.0,7.0,"1361, 1175",idx_L,13,13.0
1,14.0,-0.7832756638526917,0,0.001,,0.21673262548572292,0.005,0.2716577199634195,0,,"14, 194",VMV1,VentroMedial_Visual_Area_1,Ventral_Stream_Visual,4.0,153.0,"939, 1219",idx_L,14,14.0
1,15.0,-2.0037567615509033,0,0.001,,0.022548061319084822,0.005,0.04560282064534009,0,,"15, 195",VMV2,VentroMedial_Visual_Area_2,Ventral_Stream_Visual,4.0,160.0,"639, 923",idx_L,15,15.0
1,16.0,-3.4369072914123535,1,0.001,-,0.00029419848231078475,0.005,0.0010183793618450242,1,-,"16, 196",VMV3,VentroMedial_Visual_Area_3,Ventral_Stream_Visual,4.0,154.0,"941, 1242",idx_L,16,16.0
1,17.0,1.3351448774337769,0,0.001,,0.09091446693653255,0.005,0.1399776064848943,0,,"17, 197",VVC,Ventral_Visual_Complex,Ventral_Stream_Visual,4.0,163.0,"2487, 2753",idx_L,17,17.0
