iFA,ROI_idx,ROI_value,significant,alpha,label,p_value,alpha_FDR,p_value_FDR,significant_FDR,label_FDR,Reordered,Region,RegionLongName,Cortical Division,Cortex,Original,Voxel numbers,LR,idx,#No.
1,1.0,-1.919712781906128,0,0.001,,0.027447094413347802,0.005,0.10132252108026621,0,,"1, 181",V1,Primary_Visual_Cortex,Primary_Visual,1.0,1.0,"13,812, 13,406",idx_L,1,1.0
1,2.0,-0.25595882534980774,0,0.001,,0.39899131551603234,0.005,0.44565160207185855,0,,"2, 182",V2,Second_Visual_Area,Early_Visual,2.0,4.0,"9515, 9420",idx_L,2,2.0
1,3.0,-0.06593349575996399,0,0.001,,0.47371538641692945,0.005,0.4858619347865943,0,,"3, 183",V3,Third_Visual_Area,Early_Visual,2.0,5.0,"7106, 7481",idx_L,3,3.0
1,4.0,-0.7068473100662231,0,0.001,,0.2398306852731597,0.005,0.3354211383046427,0,,"4, 184",V4,Fourth_Visual_Area,Early_Visual,2.0,6.0,"4782, 4537",idx_L,4,4.0
1,5.0,-1.1497477293014526,0,0.001,,0.12512389485957987,0.005,0.23833122830396164,0,,"5, 185",IPS1,IntraParietal_Sulcus_Area_1,Dorsal_Stream_Visual,3.0,17.0,"1751, 1750",idx_L,5,5.0
1,6.0,0.6780650019645691,0,0.001,,0.2488652399356937,0.005,0.33818260042605286,0,,"6, 186",V3A,Area_V3A,Dorsal_Stream_Visual,3.0,13.0,"2191, 2212",idx_L,6,6.0
1,7.0,-0.7398441433906555,0,0.001,,0.22969728511657617,0.005,0.3320924604095077,0,,"7, 187",V3B,Area_V3B,Dorsal_Stream_Visual,3.0,19.0,"639, 731",idx_L,7,7.0
1,8.0,1.212530255317688,0,0.001,,0.11265473416320354,0.005,0.22283354010304,0,,"8, 188",V6,Sixth_Visual_Area,Dorsal_Stream_Visual,3.0,3.0,"1402, 1559",idx_L,8,8.0
1,9.0,1.2600123882293701,0,0.001,,0.10383244665939778,0.005,0.21606751906001848,0,,"9, 189",V6A,Area_V6A,Dorsal_Stream_Visual,3.0,152.0,"904, 734",idx_L,9,9.0
1,10.0,-0.35459697246551514,0,0.001,,0.36144577229232056,0.005,0.4266245181155259,0,,"10, 190",V7,Seventh_Visual_Area,Dorsal_Stream_Visual,3.0,16.0,"1005, 1041",idx_L,10,10.0
1,11.0,-4.2883734703063965,1,0.001,-,8.999314030304276e-06,0.005,0.00023141093220782426,1,-,"11, 191",FFC,Fusiform_Face_Complex,Ventral_Stream_Visual,4.0,18.0,"3848, 4402",idx_L,11,11.0
1,12.0,1.0510365962982178,0,0.001,,0.14662089107867732,0.005,0.24665196630057867,0,,"12, 192",PIT,Posterior_InferoTemporal_complex,Ventral_Stream_Visual,4.0,22.0,"1392, 1386",idx_L,12,12.0
1,13.0,-0.7088472247123718,0,0.001,,0.239209644157599,0.005,0.3354211383046427,0,,"13, 193",V8,Eighth_Visual_Area,Ventral_Stream_Visual,4.0,7.0,"1361, 1175",idx_L,13,13.0
1,14.0,-0.7908708453178406,0,0.001,,0.21450968152321992,0.005,0.3139518095953501,0,,"14, 194",VMV1,VentroMedial_Visual_Area_1,Ventral_Stream_Visual,4.0,153.0,"939, 1219",idx_L,14,14.0
1,15.0,-1.2174583673477173,0,0.001,,0.11171493368197594,0.005,0.22219544820724496,0,,"15, 195",VMV2,VentroMedial_Visual_Area_2,Ventral_Stream_Visual,4.0,160.0,"639, 923",idx_L,15,15.0
1,16.0,0.30426427721977234,0,0.001,,0.3804632791952499,0.005,0.4307131462587735,0,,"16, 196",VMV3,VentroMedial_Visual_Area_3,Ventral_Stream_Visual,4.0,154.0,"941, 1242",idx_L,16,16.0
1,17.0,-1.9175784587860107,0,0.001,,0.027582241849628025,0.005,0.10132252108026621,0,,"17, 197",VVC,Ventral_Visual_Complex,Ventral_Stream_Visual,4.0,163.0,"2487, 2753",idx_L,17,17.0
1,18.0,-1.6102488040924072,0,0.001,,0.05367177543464563,0.005,0.1596846211278713,0,,"18, 198",FST,Area_FST,MT + _Complex,5.0,157.0,"1324, 1683",idx_L,18,18.0
1,19.0,-0.7051079273223877,0,0.001,,0.24037153679445855,0.005,0.3354211383046427,0,,"19, 199",LO1,Area_Lateral_Occipital_1,MT + _Complex,5.0,20.0,"619, 909",idx_L,19,19.0
1,20.0,0.6753389239311218,0,0.001,,0.24973022977732567,0.005,0.33818260042605286,0,,"20, 200",LO2,Area_Lateral_Occipital_2,MT + _Complex,5.0,21.0,"1179, 1062",idx_L,20,20.0
1,21.0,0.6621727347373962,0,0.001,,0.25393026290764065,0.005,0.3411003531595173,0,,"21, 201",LO3,Area_Lateral_Occipital_3,MT + _Complex,5.0,159.0,"438, 915",idx_L,21,21.0
1,22.0,-1.10946524143219,0,0.001,,0.13361476553772672,0.005,0.24434314717302305,0,,"22, 202",MST,Medial_Superior_Temporal_Area,MT + _Complex,5.0,2.0,"794, 1036",idx_L,22,22.0
1,23.0,-1.0298645496368408,0,0.001,,0.15153679707062495,0.005,0.25373603230430225,0,,"23, 203",MT,Middle_Temporal_Area,MT + _Complex,5.0,23.0,"620, 1005",idx_L,23,23.0
1,24.0,-2.3207180500030518,0,0.001,,0.01015103295067362,0.005,0.055369270640037924,0,,"24, 204",PH,Area_PH,MT + _Complex,5.0,138.0,"3453, 3205",idx_L,24,24.0
1,25.0,-0.6384674906730652,0,0.001,,0.2615847048287732,0.005,0.34749259682051054,0,,"25, 205",V3CD,Area_V3CD,MT + _Complex,5.0,158.0,"876, 1222",idx_L,25,25.0
