iFA,ROI_idx,ROI_value,significant,alpha,label,p_value,alpha_FDR,p_value_FDR,significant_FDR,label_FDR,Reordered,Region,RegionLongName,Cortical Division,Cortex,Original,Voxel numbers,LR,idx,#No.
1,1.0,-1.5145710706710815,0,0.001,,0.06494053148652076,0.005,0.17511579147988643,0,,"1, 181",V1,Primary_Visual_Cortex,Primary_Visual,1.0,1.0,"13,812, 13,406",idx_L,1,1.0
1,2.0,-0.21366675198078156,0,0.001,,0.41540347032031477,0.005,0.46807768332817407,0,,"2, 182",V2,Second_Visual_Area,Early_Visual,2.0,4.0,"9515, 9420",idx_L,2,2.0
1,3.0,-0.1756422519683838,0,0.001,,0.43028750302982066,0.005,0.4708313103061867,0,,"3, 183",V3,Third_Visual_Area,Early_Visual,2.0,5.0,"7106, 7481",idx_L,3,3.0
1,4.0,-1.141128659248352,0,0.001,,0.12690819328779268,0.005,0.2566682560876706,0,,"4, 184",V4,Fourth_Visual_Area,Early_Visual,2.0,6.0,"4782, 4537",idx_L,4,4.0
1,5.0,-1.956613540649414,0,0.001,,0.025196460908897714,0.005,0.1015851982946757,0,,"5, 185",IPS1,IntraParietal_Sulcus_Area_1,Dorsal_Stream_Visual,3.0,17.0,"1751, 1750",idx_L,5,5.0
1,6.0,0.8815134167671204,0,0.001,,0.18901999770919353,0.005,0.3097288203189124,0,,"6, 186",V3A,Area_V3A,Dorsal_Stream_Visual,3.0,13.0,"2191, 2212",idx_L,6,6.0
1,7.0,-0.6953299641609192,0,0.001,,0.24342427007542639,0.005,0.35432417646915,0,,"7, 187",V3B,Area_V3B,Dorsal_Stream_Visual,3.0,19.0,"639, 731",idx_L,7,7.0
1,8.0,1.5310277938842773,0,0.001,,0.06288126181041302,0.005,0.1714943503920355,0,,"8, 188",V6,Sixth_Visual_Area,Dorsal_Stream_Visual,3.0,3.0,"1402, 1559",idx_L,8,8.0
1,9.0,0.8400417566299438,0,0.001,,0.20044248725298547,0.005,0.31863764644258574,0,,"9, 189",V6A,Area_V6A,Dorsal_Stream_Visual,3.0,152.0,"904, 734",idx_L,9,9.0
1,10.0,-0.8034733533859253,0,0.001,,0.2108505961296106,0.005,0.327757356764434,0,,"10, 190",V7,Seventh_Visual_Area,Dorsal_Stream_Visual,3.0,16.0,"1005, 1041",idx_L,10,10.0
1,11.0,-5.114237308502197,1,0.001,-,1.5750556650610565e-07,0.005,4.725166995183169e-06,1,-,"11, 191",FFC,Fusiform_Face_Complex,Ventral_Stream_Visual,4.0,18.0,"3848, 4402",idx_L,11,11.0
1,12.0,0.6131185293197632,0,0.001,,0.26989898458771666,0.005,0.36728990363281966,0,,"12, 192",PIT,Posterior_InferoTemporal_complex,Ventral_Stream_Visual,4.0,22.0,"1392, 1386",idx_L,12,12.0
1,13.0,-0.891322672367096,0,0.001,,0.18637804443060824,0.005,0.30925922683200796,0,,"13, 193",V8,Eighth_Visual_Area,Ventral_Stream_Visual,4.0,7.0,"1361, 1175",idx_L,13,13.0
1,14.0,-0.3923019468784332,0,0.001,,0.34741756265109125,0.005,0.4268611691276207,0,,"14, 194",VMV1,VentroMedial_Visual_Area_1,Ventral_Stream_Visual,4.0,153.0,"939, 1219",idx_L,14,14.0
1,15.0,-1.0954965353012085,0,0.001,,0.13664958129054233,0.005,0.2700798926530353,0,,"15, 195",VMV2,VentroMedial_Visual_Area_2,Ventral_Stream_Visual,4.0,160.0,"639, 923",idx_L,15,15.0
1,16.0,-0.2725551426410675,0,0.001,,0.3925975988592878,0.005,0.4573952608069372,0,,"16, 196",VMV3,VentroMedial_Visual_Area_3,Ventral_Stream_Visual,4.0,154.0,"941, 1242",idx_L,16,16.0
1,17.0,-2.390639305114746,0,0.001,,0.008409533629952908,0.005,0.05131240858954316,0,,"17, 197",VVC,Ventral_Visual_Complex,Ventral_Stream_Visual,4.0,163.0,"2487, 2753",idx_L,17,17.0
1,18.0,-1.6070301532745361,0,0.001,,0.05402387683947937,0.005,0.15941471854272604,0,,"18, 198",FST,Area_FST,MT + _Complex,5.0,157.0,"1324, 1683",idx_L,18,18.0
1,19.0,-0.6965610980987549,0,0.001,,0.24303875424090732,0.005,0.35432417646915,0,,"19, 199",LO1,Area_Lateral_Occipital_1,MT + _Complex,5.0,20.0,"619, 909",idx_L,19,19.0
1,20.0,0.3742605745792389,0,0.001,,0.3541052305359399,0.005,0.42934352241482215,0,,"20, 200",LO2,Area_Lateral_Occipital_2,MT + _Complex,5.0,21.0,"1179, 1062",idx_L,20,20.0
1,21.0,0.6117058992385864,0,0.001,,0.27036617906304783,0.005,0.36728990363281966,0,,"21, 201",LO3,Area_Lateral_Occipital_3,MT + _Complex,5.0,159.0,"438, 915",idx_L,21,21.0
1,22.0,-1.0181597471237183,0,0.001,,0.1543010226970788,0.005,0.2878153791240848,0,,"22, 202",MST,Medial_Superior_Temporal_Area,MT + _Complex,5.0,2.0,"794, 1036",idx_L,22,22.0
1,23.0,-0.8924898505210876,0,0.001,,0.1860652152333213,0.005,0.30925922683200796,0,,"23, 203",MT,Middle_Temporal_Area,MT + _Complex,5.0,23.0,"620, 1005",idx_L,23,23.0
