subID,task,label,stimulus_onset_s,n_tr,n_aligned_word_onsets,n_word_onsets_inside_run,n_word_onsets_outside_run
sub-023,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-023,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-030,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-030,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-032,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-032,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-034,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-034,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-049,shapessocial,shapessocial,4.5,309,904,904,0
sub-050,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-052,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-052,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-058,shapessocial,shapessocial,4.5,316,904,904,0
sub-065,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-066,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-075,21styear,21styear,0.0,2249,8179,8179,0
sub-079,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-079,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-081,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-081,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-083,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-083,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-084,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-086,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-086,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-087,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-087,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-088,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-088,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-089,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-089,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-090,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-090,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-091,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-091,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-093,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-093,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-095,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-095,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-096,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-096,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-097,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-097,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-098,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-098,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-099,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-099,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-100,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-100,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-101,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-101,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-102,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-102,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-103,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-103,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-104,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-104,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-106,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-106,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-107,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-107,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-108,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-108,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-109,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-109,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-110,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-110,milkyway,milkywayvodka,0.0,297,1056,1056,0
sub-111,prettymouth,prettymouth,0.0,475,1963,1963,0
sub-111,milkyway,milkywayoriginal,0.0,297,1052,1052,0
sub-127,piemanpni,piemanpni,12.0,294,985,985,0
sub-127,black,black,12.0,550,1539,1539,0
sub-131,21styear,21styear,0.0,2249,8179,8179,0
sub-136,slumlordreach,slumlordreach,4.5,1210,5228,5228,0
sub-143,slumlordreach,slumlordreach,4.5,1210,5228,5228,0
sub-145,slumlordreach,slumlordreach,4.5,1206,5228,5228,0
sub-186,shapessocial,shapessocial,4.5,309,904,904,0
sub-190,shapessocial,shapessocial,4.5,310,904,904,0
sub-190,21styear,21styear,0.0,2249,8179,8179,0
sub-201,21styear,21styear,0.0,2249,8179,8179,0
sub-221,shapessocial,shapessocial,4.5,309,904,904,0
sub-222,shapessocial,shapessocial,4.5,310,904,904,0
sub-223,shapessocial,shapessocial,4.5,311,904,904,0
sub-225,shapessocial,shapessocial,4.5,309,904,904,0
sub-228,shapessocial,shapessocial,4.5,310,904,904,0
sub-229,shapessocial,shapessocial,4.5,312,904,904,0
sub-230,shapessocial,shapessocial,4.5,314,904,904,0
sub-231,shapessocial,shapessocial,4.5,310,904,904,0
sub-232,shapessocial,shapessocial,4.5,311,904,904,0
sub-233,shapessocial,shapessocial,4.5,309,904,904,0
sub-234,shapessocial,shapessocial,4.5,310,904,904,0
sub-235,shapessocial,shapessocial,4.5,311,904,904,0
