story,n_words_total,n_words_aligned,alignment_percent,audio_duration_s,global_word_rate_words_per_s,primary_measure
21styear,8267,8179,98.93552679327446,3374.2549886621314,2.42394247840852,word_rate_w4s_words_per_s
black,1544,1539,99.6761658031088,800.0049886621315,1.9237380039013363,word_rate_w4s_words_per_s
bronx,1379,1356,98.33212472806382,561.005,2.4170907567668736,word_rate_w4s_words_per_s
forgot,2135,2119,99.25058548009368,837.0049886621315,2.531645603913316,word_rate_w4s_words_per_s
milkywayoriginal,1059,1052,99.33899905571293,438.005,2.4017990662207054,word_rate_w4s_words_per_s
milkywayvodka,1058,1056,99.8109640831758,438.005,2.4109313820618485,word_rate_w4s_words_per_s
piemanpni,992,985,99.29435483870968,415.405,2.3711799328366294,word_rate_w4s_words_per_s
prettymouth,1970,1963,99.64467005076142,712.0049886621315,2.757003154835344,word_rate_w4s_words_per_s
shapessocial,910,904,99.34065934065934,457.54499999999996,1.9757619469123258,word_rate_w4s_words_per_s
slumlordreach,5344,5228,97.82934131736526,1801.6249886621315,2.9018247598143385,word_rate_w4s_words_per_s
