word,word_detected,onset,offset,story_audio,PoS
When,when,1.34,1.5,prettymouth,WRB
the,the,21.15,21.25,prettymouth,DT
phone,phone,21.25,21.56,prettymouth,NN
rang,rang,21.56,21.99,prettymouth,VBD
the,the,22.07,22.19,prettymouth,DT
gray,gray,22.19,22.450000000000003,prettymouth,JJ
haired,haired,22.45,22.68,prettymouth,JJ
man,man,22.68,22.97,prettymouth,NN
asked,asked,22.99,23.270000000000003,prettymouth,VBD
the,the,23.27,23.37,prettymouth,DT
girl,girl,23.37,23.7,prettymouth,NN
with,with,23.71,23.92,prettymouth,IN
quite,quite,23.95,24.25,prettymouth,RB
some,some,24.25,24.49,prettymouth,DT
little,little,24.49,24.72,prettymouth,JJ
deference,deference,24.72,25.31,prettymouth,NN
if,if,25.74,25.9,prettymouth,IN
she,she,25.9,26.02,prettymouth,PRP
would,would,26.02,26.2,prettymouth,MD
rather,rather,26.2,26.48,prettymouth,RB
for,for,26.48,26.63,prettymouth,IN
any,any,26.630000000000003,26.840000000000003,prettymouth,DT
reason,reason,26.84,27.22,prettymouth,NN
he,he,27.22,27.34,prettymouth,PRP
didn't,didn't,27.34,27.56,prettymouth,VBZ
answer,answer,27.559999,27.909999,prettymouth,VB
it,it,27.91,28.12,prettymouth,PRP
The,the,28.91,29.05,prettymouth,DT
girl,girl,29.05,29.34,prettymouth,JJ
heard,heard,29.34,29.57,prettymouth,NN
him,him,29.57,29.74,prettymouth,PRP
as,as,29.74,29.89,prettymouth,IN
if,if,29.889999,29.989999,prettymouth,IN
from,from,30.0,30.2,prettymouth,IN
a,a,30.2,30.26,prettymouth,DT
distance,distance,30.259999,30.849999,prettymouth,NN
and,and,30.849999,31.079999,prettymouth,CC
turned,turned,31.08,31.34,prettymouth,VBD
her,her,31.34,31.47,prettymouth,PRP$
face,face,31.469999,31.749999000000003,prettymouth,NN
toward,toward,31.75,32.04,prettymouth,IN
him,him,32.04,32.23,prettymouth,PRP
one,one,32.509999,32.779999000000004,prettymouth,CD
eye,eye,32.78,33.02,prettymouth,NN
on,on,33.02,33.15,prettymouth,IN
the,the,33.15,33.23,prettymouth,DT
side,side,33.230000000000004,33.46,prettymouth,NN
of,of,33.46,33.58,prettymouth,IN
the,the,33.58,33.66,prettymouth,DT
light,light,33.66,33.97,prettymouth,NN
closed,closed,34.0,34.36,prettymouth,VBD
tight,tight,34.41,34.76,prettymouth,JJ
her,her,35.199999,35.379999,prettymouth,PRP$
open,open,35.379999,35.719999,prettymouth,JJ
eye,eye,35.719999,35.889999,prettymouth,NN
very,very,35.889999,36.259999,prettymouth,RB
however,however,36.260000000000005,36.71000000000001,prettymouth,RB
disingenuously,<unk>,37.11,37.7,prettymouth,RB
large,large,38.18,38.67,prettymouth,JJ
and,and,38.98,39.18,prettymouth,CC
so,so,39.18,39.39,prettymouth,RB
blue,blue,39.39,39.71,prettymouth,JJ
as,as,39.71,39.85,prettymouth,IN
to,to,39.85,39.97,prettymouth,TO
appear,appear,39.97,40.36,prettymouth,VB
almost,almost,40.38,40.84,prettymouth,RB
violet,violet,40.85,41.36,prettymouth,IN
The,the,42.22,42.34,prettymouth,DT
gray,gray,42.34,42.580000000000005,prettymouth,JJ
haired,haired,42.58,42.82,prettymouth,JJ
man,man,42.82,43.08,prettymouth,NN
asked,asked,43.11,43.44,prettymouth,VBD
her,her,43.44,43.57,prettymouth,PRP$
to,to,43.57,43.69,prettymouth,TO
hurry,hurry,43.69,44.06,prettymouth,VB
up,up,44.059999,44.239999,prettymouth,RP
and,and,44.24,44.38,prettymouth,CC
she,she,44.38,44.57,prettymouth,PRP
raised,raised,44.57,45.0,prettymouth,VBD
up,up,45.0,45.19,prettymouth,RB
on,on,45.19,45.33,prettymouth,IN
her,her,45.33,45.5,prettymouth,PRP$
right,right,45.5,45.77,prettymouth,JJ
forearm,forearm,45.77,46.35,prettymouth,NN
just,just,46.349999,46.599999,prettymouth,RB
quickly,quickly,46.61,47.02,prettymouth,RB
enough,enough,47.02,47.33,prettymouth,RB
so,so,47.77,47.94,prettymouth,IN
that,that,47.94,48.1,prettymouth,IN
the,the,48.099999,48.189999,prettymouth,DT
movement,movement,48.19,48.64,prettymouth,NN
didn't,didn't,48.639999,48.949999000000005,prettymouth,VBZ
quite,quite,48.95,49.35,prettymouth,RB
look,look,49.349999,49.539999,prettymouth,JJ
perfunctory,perfunctory,49.549999,50.249999,prettymouth,NN
She,she,51.33,51.5,prettymouth,PRP
cleared,cleared,51.5,51.76,prettymouth,VBD
her,her,51.759999,51.879999,prettymouth,PRP
hair,hair,51.88,52.150000000000006,prettymouth,NN
back,back,52.15,52.49,prettymouth,RB
from,from,52.49,52.84,prettymouth,IN
her,her,52.93,53.18,prettymouth,PRP$
forehead,forehead,53.18,53.76,prettymouth,NN
with,with,53.760000000000005,53.940000000000005,prettymouth,IN
uh,uh,53.940001,54.10000099999999,prettymouth,JJ
her,her,54.63,54.75,prettymouth,PRP$
left,left,54.75,55.08,prettymouth,JJ
