subID,task,age,sex,condition,comprehension,label
sub-023,prettymouth,28,F,affair,0.889,prettymouth
sub-023,milkyway,28,F,vodka,1.0,milkywayvodka
sub-030,prettymouth,21,F,paranoia,0.963,prettymouth
sub-030,milkyway,21,F,vodka,0.893,milkywayvodka
sub-032,prettymouth,22,M,affair,0.963,prettymouth
sub-032,milkyway,22,M,vodka,0.964,milkywayvodka
sub-034,prettymouth,19,M,affair,1.0,prettymouth
sub-034,milkyway,19,M,original,1.0,milkywayoriginal
sub-049,shapessocial,27,F,social-movie-physical,0.8,shapessocial
sub-050,prettymouth,19,M,affair,0.963,prettymouth
sub-052,prettymouth,21,F,paranoia,0.926,prettymouth
sub-052,milkyway,21,F,vodka,0.929,milkywayvodka
sub-058,shapessocial,31,F,social-movie-physical,0.8,shapessocial
sub-065,prettymouth,24,F,paranoia,1.0,prettymouth
sub-066,prettymouth,22,M,paranoia,0.926,prettymouth
sub-075,21styear,21,F,n/a,0.963,21styear
sub-079,prettymouth,19,M,paranoia,0.963,prettymouth
sub-079,milkyway,19,M,vodka,1.0,milkywayvodka
sub-081,prettymouth,21,M,paranoia,1.0,prettymouth
sub-081,milkyway,21,M,original,1.0,milkywayoriginal
sub-083,prettymouth,21,F,affair,1.0,prettymouth
sub-083,milkyway,21,F,original,0.964,milkywayoriginal
sub-084,prettymouth,18,F,affair,0.889,prettymouth
sub-086,prettymouth,20,F,affair,1.0,prettymouth
sub-086,milkyway,20,F,vodka,0.929,milkywayvodka
sub-087,prettymouth,19,F,affair,1.0,prettymouth
sub-087,milkyway,19,F,vodka,0.893,milkywayvodka
sub-088,prettymouth,19,M,affair,0.852,prettymouth
sub-088,milkyway,19,M,vodka,0.893,milkywayvodka
sub-089,prettymouth,19,M,affair,0.926,prettymouth
sub-089,milkyway,19,M,vodka,0.893,milkywayvodka
sub-090,prettymouth,20,F,affair,0.963,prettymouth
sub-090,milkyway,20,F,vodka,0.929,milkywayvodka
sub-091,prettymouth,21,M,affair,1.0,prettymouth
sub-091,milkyway,21,M,original,1.0,milkywayoriginal
sub-093,prettymouth,20,F,affair,0.926,prettymouth
sub-093,milkyway,20,F,original,1.0,milkywayoriginal
sub-095,prettymouth,20,M,affair,0.963,prettymouth
sub-095,milkyway,20,M,original,0.821,milkywayoriginal
sub-096,prettymouth,19,M,affair,1.0,prettymouth
sub-096,milkyway,19,M,original,0.964,milkywayoriginal
sub-097,prettymouth,19,M,affair,0.815,prettymouth
sub-097,milkyway,19,M,vodka,0.929,milkywayvodka
sub-098,prettymouth,18,M,paranoia,0.889,prettymouth
sub-098,milkyway,18,M,vodka,0.893,milkywayvodka
sub-099,prettymouth,18,F,paranoia,0.926,prettymouth
sub-099,milkyway,18,F,original,0.893,milkywayoriginal
sub-100,prettymouth,18,M,paranoia,0.889,prettymouth
sub-100,milkyway,18,M,original,0.964,milkywayoriginal
sub-101,prettymouth,22,M,paranoia,0.926,prettymouth
sub-101,milkyway,22,M,original,0.821,milkywayoriginal
sub-102,prettymouth,27,M,paranoia,0.963,prettymouth
sub-102,milkyway,27,M,vodka,0.857,milkywayvodka
sub-103,prettymouth,19,F,paranoia,0.889,prettymouth
sub-103,milkyway,19,F,vodka,0.821,milkywayvodka
sub-104,prettymouth,18,F,paranoia,0.963,prettymouth
sub-104,milkyway,18,F,original,1.0,milkywayoriginal
sub-106,prettymouth,22,M,paranoia,0.926,prettymouth
sub-106,milkyway,22,M,original,0.893,milkywayoriginal
sub-107,prettymouth,19,F,paranoia,1.0,prettymouth
sub-107,milkyway,19,F,vodka,0.964,milkywayvodka
sub-108,prettymouth,22,F,paranoia,0.852,prettymouth
sub-108,milkyway,22,F,original,1.0,milkywayoriginal
sub-109,prettymouth,31,M,paranoia,0.963,prettymouth
sub-109,milkyway,31,M,vodka,0.893,milkywayvodka
sub-110,prettymouth,26,M,paranoia,0.963,prettymouth
sub-110,milkyway,26,M,vodka,1.0,milkywayvodka
sub-111,prettymouth,19,M,paranoia,0.852,prettymouth
sub-111,milkyway,19,M,original,1.0,milkywayoriginal
sub-127,piemanpni,32,F,n/a,0.683,piemanpni
sub-127,black,32,F,n/a,0.76,black
sub-131,21styear,23,M,n/a,1.0,21styear
sub-136,slumlordreach,21,F,n/a,0.608,slumlordreach
sub-143,slumlordreach,23,M,n/a,0.699,slumlordreach
sub-145,slumlordreach,27,M,n/a,0.641,slumlordreach
sub-186,shapessocial,23,M,social-movie-physical,0.8,shapessocial
sub-190,shapessocial,21,F,social-movie-physical,1.0,shapessocial
sub-190,21styear,21,F,n/a,1.0,21styear
sub-201,21styear,33,M,n/a,0.963,21styear
sub-221,shapessocial,20,F,social-physical-movie,0.9,shapessocial
sub-222,shapessocial,19,F,social-physical-movie,1.0,shapessocial
sub-223,shapessocial,22,M,social-physical-movie,1.0,shapessocial
sub-225,shapessocial,22,M,social-physical-movie,0.8,shapessocial
sub-228,shapessocial,20,F,social-movie-physical,1.0,shapessocial
sub-229,shapessocial,20,F,social-physical-movie,0.6,shapessocial
sub-230,shapessocial,22,F,social-physical-movie,0.7,shapessocial
sub-231,shapessocial,21,F,social-physical-movie,0.8,shapessocial
sub-232,shapessocial,18,F,social-movie-physical,0.7,shapessocial
sub-233,shapessocial,18,F,social-movie-physical,1.0,shapessocial
sub-234,shapessocial,18,M,social-movie-physical,0.8,shapessocial
sub-235,shapessocial,19,F,social-physical-movie,1.0,shapessocial
sub-235,21styear,19,F,n/a,0.889,21styear
sub-236,shapessocial,27,F,social-movie-physical,1.0,shapessocial
sub-237,shapessocial,32,F,social-movie-physical,1.0,shapessocial
sub-244,21styear,22,F,n/a,0.852,21styear
sub-249,21styear,20,M,n/a,0.889,21styear
sub-265,21styear,19,F,n/a,0.926,21styear
sub-265,piemanpni,20,F,n/a,0.6,piemanpni
sub-265,bronx,20,F,n/a,0.64,bronx
sub-265,forgot,20,F,n/a,0.64,forgot
sub-265,black,20,F,n/a,0.76,black
sub-267,21styear,26,F,n/a,0.963,21styear
sub-267,piemanpni,27,F,n/a,0.833,piemanpni
sub-267,black,27,F,n/a,0.88,black
sub-268,21styear,20,M,n/a,1.0,21styear
sub-272,black,19,F,n/a,0.64,black
sub-273,piemanpni,20,M,n/a,0.9,piemanpni
sub-273,bronx,20,M,n/a,0.76,bronx
sub-273,forgot,20,M,n/a,0.76,forgot
sub-273,black,20,M,n/a,0.96,black
sub-274,piemanpni,50,M,n/a,0.783,piemanpni
sub-274,bronx,50,M,n/a,0.74,bronx
sub-274,forgot,50,M,n/a,0.74,forgot
sub-274,black,50,M,n/a,0.86,black
sub-275,piemanpni,19,M,n/a,0.833,piemanpni
sub-275,bronx,19,M,n/a,0.66,bronx
sub-275,forgot,19,M,n/a,0.66,forgot
sub-275,black,19,M,n/a,0.76,black
sub-279,black,20,F,n/a,0.8,black
sub-280,bronx,24,F,n/a,0.88,bronx
sub-280,forgot,24,F,n/a,0.88,forgot
sub-280,black,24,F,n/a,0.96,black
sub-284,piemanpni,21,M,n/a,0.9,piemanpni
sub-284,bronx,21,M,n/a,0.86,bronx
sub-284,forgot,21,M,n/a,0.86,forgot
sub-284,black,21,M,n/a,0.88,black
sub-285,piemanpni,22,F,n/a,0.783,piemanpni
sub-285,bronx,22,F,n/a,0.94,bronx
sub-285,forgot,22,F,n/a,0.94,forgot
sub-285,black,22,F,n/a,0.92,black
sub-286,piemanpni,18,F,n/a,0.617,piemanpni
sub-286,black,18,F,n/a,0.66,black
sub-287,black,21,F,n/a,0.8,black
sub-288,piemanpni,25,F,n/a,0.617,piemanpni
sub-288,bronx,25,F,n/a,0.7,bronx
sub-288,forgot,25,F,n/a,0.7,forgot
sub-288,black,25,F,n/a,0.76,black
sub-289,piemanpni,18,F,n/a,0.767,piemanpni
sub-289,black,18,F,n/a,0.84,black
sub-290,piemanpni,26,F,n/a,0.933,piemanpni
sub-290,bronx,26,F,n/a,0.96,bronx
sub-290,forgot,26,F,n/a,0.96,forgot
sub-290,black,26,F,n/a,1.0,black
sub-291,piemanpni,18,F,n/a,0.8,piemanpni
sub-291,bronx,18,F,n/a,0.76,bronx
sub-291,forgot,18,F,n/a,0.76,forgot
sub-291,black,18,F,n/a,0.84,black
sub-292,piemanpni,18,M,n/a,0.65,piemanpni
sub-292,bronx,18,M,n/a,0.82,bronx
sub-292,forgot,18,M,n/a,0.82,forgot
sub-292,black,18,M,n/a,0.68,black
sub-293,black,20,F,n/a,0.64,black
sub-294,piemanpni,19,F,n/a,0.783,piemanpni
