embedding_dimension,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
W2V_001,0.004592826859657576,0.08473847142950104,0.12041319353166957,0.0600006690192327,0.030738767558441946,-0.04873182557967128,-0.05925553743943218,0.02870450338398044
W2V_002,-0.008546813508355157,0.04891227613951987,-0.03198963132072985,-0.014148268424832022,0.0789927802662367,-0.09983956742079961,0.05536405888203512,0.04069474840562497
W2V_003,-0.031118304339018743,-0.003828271377933068,0.05929321765882595,-0.007419057251163895,-0.03505437603446842,0.0191202310824872,-0.039542327540114,-0.06201509589365343
W2V_004,0.06481685253702575,-0.03479501110962846,0.08285429551959522,0.06151112605852077,0.009014690717065205,-0.014717596233812275,0.112587509901933,0.06661533194988985
W2V_005,0.01678509861614308,-0.026353561669614722,0.04479329048414582,-0.1340458269547402,0.1278099955848158,0.04683097855001582,0.01663580152313529,0.12570745103356387
W2V_006,0.025623561699704756,-0.03641415966752881,0.07898409781754395,0.11866602970921825,-0.11148534682878142,-0.021353872454800582,0.13075704110929706,-0.02621231727884603
W2V_007,-0.0071603595476231185,0.008757541058301675,0.047555864500200856,0.1314316179347011,-0.0595839177934846,0.08668119865128224,0.03891182869970859,-0.007592241321111092
W2V_008,-0.02566291341883009,0.006616538184320453,0.023788173522489044,0.016750235699306143,-0.09339194563120079,-0.011936520482763571,0.022529999116700478,-0.07501634211220808
W2V_009,-0.09484456905701755,-0.005985948156773932,-0.00027367161709246357,-0.02114715449362975,-0.06836430990465386,-0.020251488906739445,-0.0823250286920878,-0.059225636762641615
W2V_010,0.07551318236141236,0.13907150838615073,-0.0330561354606575,0.014972619453644254,0.03655655177880227,-0.08164391821481948,0.037850204624103045,0.009014081628272386
W2V_011,0.023891919486981772,-0.010409232653532805,0.06633612610358096,-0.17322032702472634,0.03060391775943025,-0.02433803803304252,-0.022413728797212762,0.01312933494924031
