idx,Word,Lemma,embedding_source,embedding_lookup,vector_norm_raw
35,abandon,abandon,Word,abandon,2.5507298698592624
36,abandoned,abandon,Word,abandoned,2.449745322882708
39,abandoning,abandon,Word,abandoning,2.58126891783439
41,abandons,abandon,Lemma,abandon,2.5507298698592624
101,abdomen,abdomen,Word,abdomen,3.5734557770375637
102,abdomens,abdomen,Lemma,abdomen,3.5734557770375637
103,abdominal,abdominal,Word,abdominal,3.5687774166786546
151,abide,abide,Word,abide,3.503460434882253
152,abided,abide,Lemma,abide,3.503460434882253
154,abides,abide,Word,abides,3.5921398450417774
155,abiding,abide,Word,abiding,3.0394307179120306
160,abilities,ability,Word,abilities,2.8936346343803336
161,ability,ability,Word,ability,2.6553831957192227
190,able,able,Word,able,2.30998239225668
211,aboard,aboard,Word,aboard,2.964115472420778
212,abode,abode,Word,abode,3.159792154837434
213,abodes,abode,Lemma,abode,3.159792154837434
214,abolish,abolish,Word,abolish,3.2806782397299306
216,abolished,abolish,Word,abolished,3.2865522592854384
218,abolishes,abolish,Lemma,abolish,3.2806782397299306
219,abolishing,abolish,Lemma,abolish,3.2806782397299306
221,abolition,abolition,Word,abolition,3.359275689974483
244,abortion,abortion,Word,abortion,4.081801330126361
247,abortions,abortion,Word,abortions,4.766168574933785
253,abound,abound,Word,abound,3.261467914372795
254,abounded,abound,Word,abounded,3.2329862214116187
255,abounding,abound,Word,abounding,3.0503742076663576
256,abounds,abound,Word,abounds,3.3218462125797314
280,abreast,abreast,Word,abreast,3.563573198652644
289,abroad,abroad,Word,abroad,2.703435729413311
299,abrupt,abrupt,Word,abrupt,2.947815571528689
316,absence,absence,Word,absence,2.481881364872336
317,absences,absence,Word,absences,3.6269359535148986
318,absent,absent,Word,absent,2.6221445556598786
331,absents,absent,Lemma,absent,2.6221445556598786
336,absolute,absolute,Word,absolute,2.6047944308322117
339,absolutes,absolute,Word,absolutes,3.576040532092116
408,absurd,absurd,Word,absurd,2.5966766376123145
414,abundance,abundance,Word,abundance,2.809065353773978
415,abundant,abundant,Word,abundant,2.8556509044264184
417,abuse,abuse,Word,abuse,3.0911580162332886
418,abused,abuse,Word,abused,3.003548234659951
421,abuses,abuse,Word,abuses,3.326116341177631
422,abusing,abuse,Lemma,abuse,3.0911580162332886
437,abyss,abyss,Word,abyss,3.5734153824048525
439,abysses,abyss,Lemma,abyss,3.5734153824048525
446,academic,academic,Word,academic,2.646977397543864
453,academics,academic,Word,academics,2.7216212865827862
454,academies,academy,Word,academies,3.4262721359396235
488,accent,accent,Word,accent,3.9691573449409265
490,accenting,accent,Word,accenting,3.0320422019412065
492,accents,accent,Word,accents,3.510271448957679
501,accept,accept,Word,accept,2.5268109843180926
503,acceptable,acceptable,Word,acceptable,2.62534938739747
506,acceptance,acceptance,Word,acceptance,3.0804151744131323
507,acceptances,acceptance,Lemma,acceptance,3.0804151744131323
511,accepted,accept,Word,accepted,2.5539552589265533
513,accepting,accept,Word,accepting,2.8182219022607
515,accepts,accept,Word,accepts,2.927909636665483
516,access,access,Word,access,2.6966878833698407
518,accessed,access,Lemma,access,2.6966878833698407
519,accesses,access,Word,accesses,3.079412956143284
521,accessible,accessible,Word,accessible,2.9597124999906184
527,accessories,accessory,Word,accessories,2.9915783662196773
533,accident,accident,Word,accident,3.151299318857645
534,accidental,accidental,Word,accidental,3.147646845916254
538,accidents,accident,Word,accidents,3.717295781497031
562,accommodate,accommodate,Word,accommodate,3.0115434800446383
563,accommodated,accommodate,Word,accommodated,2.91459861574733
564,accommodates,accommodate,Word,accommodates,3.2721792230821647
565,accommodating,accommodate,Word,accommodating,2.6978449637448376
585,accomplish,accomplish,Word,accomplish,2.7937164945908988
587,accomplished,accomplish,Word,accomplished,2.664303879946318
589,accomplishes,accomplish,Word,accomplishes,3.1856952932743923
590,accomplishing,accomplish,Word,accomplishing,2.795917835681939
593,accord,accord,Word,accord,2.8882361618231207
595,accordance,accordance,Word,accordance,3.571699797747653
598,accorded,accord,Word,accorded,3.2908720574662125
600,according,accord,Word,according,2.2806096663510416
605,accords,accord,Word,accords,3.4509834942652278
612,account,account,Word,account,2.6314155933110306
618,accountant,accountant,Word,accountant,3.205717015959302
619,accountants,accountant,Word,accountants,2.942301636291187
621,accounted,account,Word,accounted,3.2836760001098138
623,accounts,account,Word,accounts,2.6651435800938192
661,accuracies,accuracy,Lemma,accuracy,3.531584071688155
662,accuracy,accuracy,Word,accuracy,3.531584071688155
663,accurate,accurate,Word,accurate,3.0067620452941015
672,accusation,accusation,Word,accusation,3.007125317217232
673,accusations,accusation,Word,accusations,3.1076720627648116
681,accused,accuse,Word,accused,3.1608596978834336
685,accusing,accuse,Word,accusing,3.363596978637181
698,aces,ace,Word,aces,4.5347281228221945
724,ache,ache,Word,ache,3.2098410032891636
725,ached,ache,Word,ached,3.7966259952704746
726,aches,ache,Word,aches,3.5495054585920145
730,achieve,achieve,Word,achieve,2.6776728507277623
731,achieved,achieve,Word,achieved,2.6763557166157397
732,achievement,achievement,Word,achievement,2.857220037437708
733,achievements,achievement,Word,achievements,3.072125441841132
736,achieves,achieve,Word,achieves,3.0999550192549155
737,achieving,achieve,Word,achieving,2.6568710159699216
740,aching,ache,Word,aching,2.949107689425774
750,acid,acid,Word,acid,3.0195555025939265
767,acids,acid,Word,acids,3.994504151411979
793,acorn,acorn,Word,acorn,3.409156361434086
794,acorns,acorn,Word,acorns,3.773232633667728
802,acquaintance,acquaintance,Word,acquaintance,2.9106201958677227
803,acquaintances,acquaintance,Lemma,acquaintance,2.9106201958677227
836,acre,acre,Word,acre,3.2853055652280996
838,acres,acre,Word,acres,3.5977625267949707
877,act,act,Word,act,2.310999002470807
880,acted,act,Word,acted,3.012266136909863
882,acting,act,Word,acting,2.508762971178735
890,action,action,Word,action,2.3902721835493894
893,actions,action,Word,actions,2.6362866563857614
895,activated,activate,Word,activated,3.202157526739911
900,active,active,Word,active,2.5751609291914885
903,ACTIVES,active,Lemma,active,2.5751609291914885
907,activities,activity,Word,activities,2.5687975158508514
908,activity,activity,Word,activity,2.788717179564932
909,actor,actor,Word,actor,3.037115468772607
911,actors,actor,Word,actors,2.9527772504648544
912,actress,actress,Word,actress,3.475615521835092
913,actresses,actress,Word,actresses,3.408434546577376
914,acts,act,Word,acts,2.6614424796806473
915,actual,actual,Word,actual,2.2895851151882267
941,acute,acute,Word,acute,2.7841390482456974
969,adapt,adapt,Word,adapt,2.9927868278137066
971,adaptable,adaptable,Word,adaptable,3.1175466762444564
974,adaptations,adaptation,Word,adaptations,3.135399647183084
975,adapted,adapt,Word,adapted,3.021347320885565
978,adapting,adapt,Word,adapting,2.893494855561165
983,adapts,adapt,Lemma,adapt,2.9927868278137066
986,add,add,Word,add,2.440109555780955
990,added,add,Word,added,1.9818507500708884
1005,addicts,addict,Word,addicts,3.5243434906889965
1006,adding,add,Word,adding,1.7955293568531172
1008,addition,addition,Word,addition,2.248396069237351
1009,additional,additional,Word,additional,2.233287420186628
1011,additions,addition,Word,additions,2.842706268717811
1014,additives,additive,Word,additives,3.5512243855369103
1021,address,address,Word,address,2.6781175092668486
1024,addressed,address,Word,addressed,2.760609890913143
1028,addresses,address,Word,addresses,2.7502213030522893
1029,addressing,address,Word,addressing,2.546094885363727
1034,adds,add,Word,adds,2.292085534718831
1064,adept,adept,Word,adept,3.5151387692455254
1067,adepts,adept,Lemma,adept,3.5151387692455254
1069,adequate,adequate,Word,adequate,2.7572862882078075
1084,adhesive,adhesive,Word,adhesive,3.8951008441329855
1087,adhesives,adhesive,Word,adhesives,3.766623640747084
1102,adjacent,adjacent,Word,adjacent,2.54066905831356
1106,adjective,adjective,Word,adjective,3.4367357571997696
1108,adjectives,adjective,Word,adjectives,3.488275569038212
1184,admirable,admirable,Word,admirable,2.60596733231875
1188,admirals,admiral,Word,admirals,4.115896136819592
1192,admiration,admiration,Word,admiration,3.1602838619510383
1193,admire,admire,Word,admire,3.0507780121865014
1194,admired,admire,Word,admired,3.048022060996457
1196,admirers,admirer,Word,admirers,3.0054955256278095
1197,admires,admire,Word,admires,3.287573499361259
1198,admiring,admire,Word,admiring,2.8040882944267107
1204,admission,admission,Word,admission,3.357654405086447
1205,admissions,admission,Word,admissions,3.350671381003709
1207,admit,admit,Word,admit,2.485130201584742
1208,admits,admit,Word,admits,2.7211327312361817
1210,admitted,admit,Word,admitted,2.4683571222093232
1213,admitting,admit,Word,admitting,2.380969567792448
1238,adolescence,adolescence,Word,adolescence,3.39572476468246
1239,adolescent,adolescent,Word,adolescent,2.716975363076752
1242,adolescents,adolescent,Word,adolescents,3.165512616725681
1254,adoption,adoption,Word,adoption,3.204121469661547
1255,adoptions,adoption,Lemma,adoption,3.204121469661547
1272,adorned,adorn,Word,adorned,3.246234324194569
1313,adult,adult,Word,adult,2.5430290235371715
1335,adults,adult,Word,adults,2.8424535880137425
1346,advance,advance,Word,advance,2.352581981071414
1347,advanced,advanced,Word,advanced,2.4339431276935155
1348,advancement,advancement,Word,advancement,2.7640366723212866
1349,advancements,advancement,Word,advancements,3.215157603830545
1351,advances,advance,Word,advances,3.0305406619675392
1352,advancing,advance,Word,advancing,2.682298342378145
1353,advantage,advantage,Word,advantage,2.8302184274085413
1355,advantageous,advantageous,Word,advantageous,2.7159663611445217
1358,advantages,advantage,Word,advantages,3.07622257615276
1359,advantaging,advantage,Lemma,advantage,2.8302184274085413
1368,adventure,adventure,Word,adventure,2.9964965467837845
1369,adventured,adventure,Lemma,adventure,2.9964965467837845
1372,adventures,adventure,Word,adventures,3.1544071293022453
1376,adventuring,adventure,Word,adventuring,3.589959946540557
1379,adventurous,adventurous,Word,adventurous,2.909276685628859
1388,adversaries,adversary,Word,adversaries,2.862264154405731
1389,adversary,adversary,Word,adversary,2.9288970562103764
1392,adverse,adverse,Word,adverse,3.2186509309179017
1403,advertise,advertise,Word,advertise,3.293920648581908
1404,advertised,advertise,Word,advertised,2.8023694363652734
1409,advertises,advertise,Word,advertises,3.2947906809928873
1414,advice,advice,Word,advice,3.0495975905876924
1415,advices,advice,Lemma,advice,3.0495975905876924
1417,advisable,advisable,Word,advisable,3.247778026334667
1420,advise,advise,Word,advise,2.7435322610444914
1421,advised,advise,Word,advised,2.7064938408312695
1426,adviser,adviser,Word,adviser,3.3652666817888095
1427,advisers,adviser,Word,advisers,3.0530405515566374
1428,advises,advise,Word,advises,3.2375533273247643
1429,advising,advise,Word,advising,2.6251958065918255
1432,advisory,advisory,Word,advisory,3.219012063348463
1459,aerial,aerial,Word,aerial,3.277540436348808
1462,aerials,aerial,Word,aerials,3.7267677825717382
1534,afar,afar,Word,afar,2.993405793067856
1540,affair,affair,Word,affair,3.0747120466042284
1544,affairs,affair,Word,affairs,2.9344085778170443
1577,affiliation,affiliation,Word,affiliation,3.2637773726962727
1578,affiliations,affiliation,Word,affiliations,3.624942204802119
1606,afflicted,afflict,Word,afflicted,2.7230938096165573
1619,afford,afford,Word,afford,2.9210230896060914
1622,afforded,afford,Word,afforded,2.746933923148926
1623,affording,afford,Word,affording,2.6737726135897857
1624,affords,afford,Word,affords,2.9935514747577257
1675,afraid,afraid,Word,afraid,2.667189585028144
1751,age,age,Word,age,2.6162253606548296
1752,aged,age,Word,aged,2.891181696417664
1761,agencies,agency,Word,agencies,2.7072025411151874
1762,agency,agency,Word,agency,2.480548272622801
1771,agents,agent,Word,agents,2.847637217099413
1774,ages,age,Word,ages,3.2178388009638255
1812,aggregate,aggregate,Word,aggregate,2.8373743013757773
1813,aggregated,aggregate,Lemma,aggregate,2.8373743013757773
1815,aggregates,aggregate,Lemma,aggregate,2.8373743013757773
1825,aggression,aggression,Word,aggression,3.14941821001603
1826,aggressions,aggression,Word,aggressions,3.7446047977017716
1827,aggressive,aggressive,Word,aggressive,2.749553364093326
1839,agile,agile,Word,agile,3.3470405320002956
1843,aging,age,Word,aging,3.02155701862152
1845,agitated,agitate,Word,agitated,3.125753612633276
1849,agitation,agitation,Word,agitation,3.64078545230946
1850,agitations,agitation,Lemma,agitation,3.64078545230946
1898,agree,agree,Word,agree,2.5938887818191065
1900,agreeable,agreeable,Word,agreeable,2.6801484653279566
1903,agreed,agree,Word,agreed,2.545945258354769
1904,agreeing,agree,Word,agreeing,2.562090156550756
1905,agreement,agreement,Word,agreement,3.0061576132710246
1906,agreements,agreement,Word,agreements,3.1219616331129245
1907,agrees,agree,Word,agrees,2.6277498145341567
1910,agricultural,agricultural,Word,agricultural,2.9392609740095454
1938,ahead,ahead,Word,ahead,2.4635040041111558
1952,aid,aid,Word,aid,2.7712065620830075
1955,aided,aid,Word,aided,2.635710072236614
1958,aiding,aid,Word,aiding,2.7093238486817612
1976,ailments,ailment,Word,ailments,3.521486742954211
1978,aim,aim,Word,aim,2.5491683139005303
1979,aimed,aim,Word,aimed,3.0479825546976476
1981,aiming,aim,Word,aiming,2.5194272095199697
1985,aims,aim,Word,aims,2.8177770999468854
1991,air,air,Word,air,2.503358727120677
2006,aircraft,aircraft,Word,aircraft,3.2749690569668286
2022,aired,air,Word,aired,3.150305395888821
2047,airing,air,Lemma,air,2.503358727120677
2081,airs,air,Word,airs,3.5374471815553017
2109,aisle,aisle,Word,aisle,3.786251247197243
2110,aisled,aisle,Lemma,aisle,3.786251247197243
2111,aisles,aisle,Lemma,aisle,3.786251247197243
2118,akin,akin,Word,akin,3.2120419194244945
2144,alarm,alarm,Word,alarm,3.431549724433156
2146,alarmed,alarm,Word,alarmed,2.903076605813562
2147,alarming,alarming,Word,alarming,2.8902249656401824
2152,alarms,alarm,Word,alarms,3.4658705182772467
2184,album,album,Word,album,3.7974215253779144
2190,albums,album,Word,albums,3.748264037371453
2203,alcohol,alcohol,Word,alcohol,3.547360436381106
2204,alcoholic,alcoholic,Word,alcoholic,3.339370570797331
2206,alcoholics,alcoholic,Word,alcoholics,3.5876776159344566
2207,alcoholism,alcoholism,Word,alcoholism,3.4997396006590114
2210,alcohols,alcohol,Word,alcohols,3.613243102558901
2228,ale,ale,Word,ale,3.887465343310229
2240,alert,alert,Word,alert,3.502020449681702
2241,alerted,alert,Word,alerted,3.5535908402533063
2242,alerting,alert,Word,alerting,3.031962081204469
2244,alertness,alertness,Word,alertness,3.7201753708365515
2245,alerts,alert,Word,alerts,4.124199936683581
2246,ales,ale,Lemma,ale,3.887465343310229
2313,alien,alien,Word,alien,3.096180430093486
2317,alienated,alienate,Word,alienated,3.1198083168066
2320,alienation,alienation,Word,alienation,3.1886759989370943
2324,aliens,alien,Word,aliens,3.5679381167121544
2326,alight,alight,Word,alight,3.6064501416783923
2327,alighted,alight,Lemma,alight,3.6064501416783923
2328,alighting,alight,Lemma,alight,3.6064501416783923
2329,alights,alight,Lemma,alight,3.6064501416783923
2398,alleged,allege,Word,alleged,2.533033180111311
2404,allegiance,allegiance,Word,allegiance,3.4766985145223908
2405,allegiances,allegiance,Word,allegiances,3.685921301981835
2445,alley,alley,Word,alley,3.0365982775710285
2446,alleys,alley,Word,alleys,3.2462382366378213
2452,alliances,alliance,Word,alliances,3.2365801425066527
2454,allies,ally,Word,allies,2.9657874621601787
