iFA,ROI_idx,#No.,Region,RegionLongName,Cortical Division,LR,idx,ROI_value_mean,p_value_mean,p_value_FDR_mean,significant_FDR_mean,label_FDR_mean,ROI_value_sum,p_value_sum,p_value_FDR_sum,significant_FDR_sum,label_FDR_sum,delta_mean_minus_sum,abs_delta,effect_sign_mean,effect_sign_sum,effect_sign_reversal,FDR_comparison
1,24.0,24.0,PH,Area_PH,MT + _Complex,idx_L,24,-2.320718050003052,0.0101510329506736,0.0553692706400379,0,,-3.389697313308716,0.0003498491726547,0.0040627645856684,1,-,1.0689792633056636,1.0689792633056636,-1,-1,False,lemma_sum_only
1,37.0,37.0,5mv,Area_5m_ventral,ParaCentral_MidCing,idx_L,37,3.0321974754333496,0.0012139015937048,0.0118109344252366,0,,3.5669314861297607,0.0001805929325084,0.0023219091322512,1,+,-0.5347340106964111,0.5347340106964111,1,1,False,lemma_sum_only
1,41.0,41.0,55b,Area_55b,Premotor,idx_L,41,-3.64417576789856,0.0001341250303477,0.0024142505462595,1,-,-3.187405824661255,0.0007177759919066,0.0069837664077401,0,,-0.45676994323730513,0.45676994323730513,-1,-1,False,lemma_mean_only
1,78.0,78.0,PoI1,Area_Posterior_Insular_1,Insula_FrontalOperc,idx_L,78,3.4007694721221924,0.0003359823466791,0.0042767459883628,1,+,3.2856359481811523,0.0005087621346137,0.0052329819560274,0,,0.11513352394104004,0.11513352394104004,1,1,False,lemma_mean_only
1,98.0,98.0,TPOJ1,Area_TemporoParietoOccipital_Junction_1,TPO,idx_L,98,-3.617120504379273,0.0001489493175584,0.0025534168724298,1,-,-2.8613619804382324,0.0021091256297721,0.0151857045343592,0,,-0.7557585239410405,0.7557585239410405,-1,-1,False,lemma_mean_only
1,130.0,130.0,POS2,Parieto-Occipital_Sulcus_Area_2,Posterior_Cingulate,idx_L,130,2.6526496410369877,0.003993135962257,0.0281868420865201,0,,3.827275514602661,6.478472992601923e-05,0.0011661251386683,1,+,-1.1746258735656734,1.1746258735656734,1,1,False,lemma_sum_only
1,154.0,154.0,47 m,Area_47m,OrbPolaFrontal,idx_L,154,-3.401160478591919,0.000335502119377,0.0042767459883628,1,-,-3.3045809268951416,0.0004755925519452,0.0050787389940184,0,,-0.09657955169677734,0.09657955169677734,-1,-1,False,lemma_mean_only
1,163.0,163.0,IFJa,Area_IFJa,Inferior_Frontal,idx_L,163,-3.5888688564300537,0.0001660579236863,0.0027173114785043,1,-,-3.1260693073272705,0.0008857989705901,0.0081766058823704,0,,-0.4627995491027832,0.4627995491027832,-1,-1,False,lemma_mean_only
1,238.0,238.0,PFcm,Area_PFcm,Early_Auditory,idx_R,238,2.7062036991119385,0.0034028642876027,0.0245006228707398,0,,3.717265367507935,0.0001006954381648,0.0015104315724732,1,+,-1.0110616683959965,1.0110616683959965,1,1,False,lemma_sum_only
1,250.0,250.0,FOP2,Frontal_Opercular_Area_2,Insula_FrontalOperc,idx_R,250,3.081479549407959,0.0010298731252702,0.0112349795484032,0,,3.46657657623291,0.0002635657795384,0.0032718510563393,1,+,-0.38509702682495117,0.38509702682495117,1,1,False,lemma_sum_only
