iFA,ROI_idx,#No.,Region,RegionLongName,Cortical Division,LR,idx,ROI_value_mean,p_value_mean,p_value_FDR_mean,significant_FDR_mean,label_FDR_mean,ROI_value_sum,p_value_sum,p_value_FDR_sum,significant_FDR_sum,label_FDR_sum,delta_mean_minus_sum,abs_delta,effect_sign_mean,effect_sign_sum,effect_sign_reversal,FDR_comparison
1,16.0,16.0,VMV3,VentroMedial_Visual_Area_3,Ventral_Stream_Visual,idx_L,16,0.3042642772197723,0.3804632791952499,0.4307131462587735,0,,-0.1709128618240356,0.4321461415988857,0.4575665028694084,0,,0.4751771390438079,0.4751771390438079,1,-1,True,neither
1,68.0,68.0,AAIC,Anterior_Agranular_Insula_Complex,Insula_FrontalOperc,idx_L,68,-0.2095856368541717,0.4169955454005032,0.4590776646611045,0,,0.2198624014854431,0.4129891595414018,0.4478132635909359,0,,-0.42944803833961476,0.42944803833961476,-1,1,True,neither
1,100.0,100.0,TPOJ3,Area_TemporoParietoOccipital_Junction_3,TPO,idx_L,100,0.2537392079830169,0.3998485207478064,0.4456516020718585,0,,-0.313262403011322,0.3770406558228119,0.4315137978609212,0,,0.567001610994339,0.567001610994339,1,-1,True,neither
1,121.0,121.0,23d,Area_23d,Posterior_Cingulate,idx_L,121,-0.3447001576423645,0.3651598998054014,0.4291710348615505,0,,0.3847553431987762,0.3502093438546123,0.4080108860442085,0,,-0.7294555008411407,0.7294555008411407,-1,1,True,neither
1,128.0,128.0,PCV,PreCuneus_Visual_Area,Posterior_Cingulate,idx_L,128,-0.5568842887878418,0.2888032448659205,0.365079065121568,0,,0.6041793823242188,0.2728621934767236,0.3528707843443255,0,,-1.1610636711120605,1.1610636711120605,-1,1,True,neither
1,136.0,136.0,25,Area_25,AntCing_MedPFC,idx_L,136,-0.3277997672557831,0.3715315316561012,0.4291710348615505,0,,0.2166841030120849,0.4142272688216157,0.4478132635909359,0,,-0.544483870267868,0.544483870267868,-1,1,True,neither
1,147.0,147.0,p32pr,Area_p32_prime,AntCing_MedPFC,idx_L,147,-0.7303955554962158,0.2325742171547403,0.3339168924937662,0,,0.241850733757019,0.4044479128540652,0.4456530221531024,0,,-0.9722462892532349,0.9722462892532349,-1,1,True,neither
1,177.0,177.0,i6-8,Inferior_6-8_Transitional_Area,Dorsolateral_Prefrontal,idx_L,177,0.0487620308995246,0.4805544705559205,0.4870443469094557,0,,-0.4400433301925659,0.3299528624359881,0.3933212929700521,0,,0.4888053610920905,0.4888053610920905,1,-1,True,neither
1,184.0,184.0,V4,Fourth_Visual_Area,Early_Visual,idx_R,184,0.20263671875,0.419709493968156,0.4596344639658228,0,,-0.0391387045383453,0.4843899014187562,0.4892033061214208,0,,0.2417754232883453,0.2417754232883453,1,-1,True,neither
1,190.0,190.0,V7,Seventh_Visual_Area,Dorsal_Stream_Visual,idx_R,190,0.0287550725042819,0.4885299664980307,0.4912591841879639,0,,-0.6505354046821594,0.2576732199864263,0.3410380852761525,0,,0.6792904771864413,0.6792904771864413,1,-1,True,neither
1,194.0,194.0,VMV1,VentroMedial_Visual_Area_1,Ventral_Stream_Visual,idx_R,194,0.32354736328125,0.3731403719768481,0.4291710348615505,0,,-0.0965288802981376,0.461550268928814,0.474801205645968,0,,0.4200762435793876,0.4200762435793876,1,-1,True,neither
1,195.0,195.0,VMV2,VentroMedial_Visual_Area_2,Ventral_Stream_Visual,idx_R,195,0.0867393910884857,0.4654393324177835,0.4804978455365749,0,,-0.2359031587839126,0.4067539085334455,0.4456530221531024,0,,0.3226425498723983,0.3226425498723983,1,-1,True,neither
1,197.0,197.0,VVC,Ventral_Visual_Complex,Ventral_Stream_Visual,idx_R,197,0.2148843258619308,0.4149287527965365,0.4590776646611045,0,,-0.1049981415271759,0.4581886417079018,0.474801205645968,0,,0.3198824673891067,0.3198824673891067,1,-1,True,neither
1,205.0,205.0,V3CD,Area_V3CD,MT + _Complex,idx_R,205,0.1435277163982391,0.4429367116659686,0.4745750482135378,0,,-0.2805758416652679,0.3895178737775673,0.4368424752645615,0,,0.42410355806350697,0.42410355806350697,1,-1,True,neither
1,210.0,210.0,3b,Primary_Sensory_Cortex,SomaSens_Motor,idx_R,210,-0.0521541126072406,0.479202947986557,0.4870443469094557,0,,0.7596630454063416,0.2237280117615659,0.3125763799327223,0,,-0.8118171580135821,0.8118171580135821,-1,1,True,neither
1,244.0,244.0,STSdp,Area_STSd_posterior,Auditory_Association,idx_R,244,-0.510759174823761,0.3047598496230343,0.3790395093607508,0,,0.2225489467382431,0.4119432872339189,0.4478132635909359,0,,-0.7333081215620041,0.7333081215620041,-1,1,True,neither
1,279.0,279.0,TPOJ2,Area_TemporoParietoOccipital_Junction_2,TPO,idx_R,279,-0.3335915207862854,0.3693439087611564,0.4291710348615505,0,,0.3402212262153625,0.3668449672060974,0.4232826544685739,0,,-0.673812747001648,0.673812747001648,-1,1,True,neither
1,281.0,281.0,7AL,Lateral_Area_7A,Superior_Parietal,idx_R,281,-0.0082268686965107,0.4967179912634997,0.4967179912634997,0,,0.0319982655346393,0.4872367170467088,0.489958709879372,0,,-0.040225134231150005,0.040225134231150005,-1,1,True,neither
1,291.0,291.0,IP0,Area_IntraParietal_0,Inferior_Parietal,idx_R,291,0.6156563758850098,0.2690606674119533,0.348713997847938,0,,-0.15579754114151,0.4380963044220186,0.4611540046547564,0,,0.7714539170265198,0.7714539170265198,1,-1,True,neither
1,292.0,292.0,IP1,Area_IntraParietal_1,Inferior_Parietal,idx_R,292,0.3253403306007385,0.3724617551226533,0.4291710348615505,0,,-0.607194185256958,0.2718610253422295,0.3528707843443255,0,,0.9325345158576965,0.9325345158576965,1,-1,True,neither
1,332.0,332.0,11 l,Area_11l,OrbPolaFrontal,idx_R,332,0.7571154832839966,0.2244903393460341,0.3259435689345931,0,,-0.0963727086782455,0.4616122832669134,0.474801205645968,0,,0.8534881919622421,0.8534881919622421,1,-1,True,neither
