Word,word_gentle,onset,offset,PoS,transcript,lemma,word,blankTR,onset_addblankTR,offset_addblankTR
When,when,1.34,1.5,WRB,prettymouth,when,when,0,1.34,1.5
the,the,21.15,21.25,DT,prettymouth,the,the,0,21.15,21.25
phone,phone,21.25,21.56,NN,prettymouth,phone,phone,0,21.25,21.56
rang,rang,21.56,21.99,VBD,prettymouth,rang,rang,0,21.56,21.99
the,the,22.07,22.19,DT,prettymouth,the,the,0,22.07,22.19
gray,gray,22.19,22.450000000000003,JJ,prettymouth,gray,gray,0,22.19,22.450000000000003
haired,haired,22.45,22.68,JJ,prettymouth,haired,haired,0,22.45,22.68
man,man,22.68,22.97,NN,prettymouth,man,man,0,22.68,22.97
asked,asked,22.99,23.270000000000003,VBD,prettymouth,asked,asked,0,22.99,23.270000000000003
the,the,23.27,23.37,DT,prettymouth,the,the,0,23.27,23.37
girl,girl,23.37,23.7,NN,prettymouth,girl,girl,0,23.37,23.7
with,with,23.71,23.92,IN,prettymouth,with,with,0,23.71,23.92
quite,quite,23.95,24.25,RB,prettymouth,quite,quite,0,23.95,24.25
some,some,24.25,24.49,DT,prettymouth,some,some,0,24.25,24.49
little,little,24.49,24.72,JJ,prettymouth,little,little,0,24.49,24.72
deference,deference,24.72,25.31,NN,prettymouth,deference,deference,0,24.72,25.31
if,if,25.74,25.9,IN,prettymouth,if,if,0,25.74,25.9
she,she,25.9,26.02,PRP,prettymouth,she,she,0,25.9,26.02
would,would,26.02,26.2,MD,prettymouth,would,would,0,26.02,26.2
rather,rather,26.2,26.48,RB,prettymouth,rather,rather,0,26.2,26.48
for,for,26.48,26.63,IN,prettymouth,for,for,0,26.48,26.63
any,any,26.630000000000003,26.840000000000003,DT,prettymouth,any,any,0,26.630000000000003,26.840000000000003
reason,reason,26.84,27.22,NN,prettymouth,reason,reason,0,26.84,27.22
he,he,27.22,27.34,PRP,prettymouth,he,he,0,27.22,27.34
didn't,didn't,27.34,27.56,VBZ,prettymouth,didn't,didn't,0,27.34,27.56
answer,answer,27.559999,27.909999,VB,prettymouth,answer,answer,0,27.559999,27.909999
it,it,27.91,28.12,PRP,prettymouth,it,it,0,27.91,28.12
The,the,28.91,29.05,DT,prettymouth,the,the,0,28.91,29.05
girl,girl,29.05,29.34,JJ,prettymouth,girl,girl,0,29.05,29.34
heard,heard,29.34,29.57,NN,prettymouth,heard,heard,0,29.34,29.57
him,him,29.57,29.74,PRP,prettymouth,him,him,0,29.57,29.74
as,as,29.74,29.89,IN,prettymouth,a,as,0,29.74,29.89
if,if,29.889999,29.989999,IN,prettymouth,if,if,0,29.889999,29.989999
from,from,30.0,30.2,IN,prettymouth,from,from,0,30.0,30.2
a,a,30.2,30.26,DT,prettymouth,a,a,0,30.2,30.26
distance,distance,30.259999,30.849999,NN,prettymouth,distance,distance,0,30.259999,30.849999
and,and,30.849999,31.079999,CC,prettymouth,and,and,0,30.849999,31.079999
turned,turned,31.08,31.34,VBD,prettymouth,turned,turned,0,31.08,31.34
her,her,31.34,31.47,PRP$,prettymouth,her,her,0,31.34,31.47
face,face,31.469999,31.749999000000003,NN,prettymouth,face,face,0,31.469999,31.749999000000003
toward,toward,31.75,32.04,IN,prettymouth,toward,toward,0,31.75,32.04
him,him,32.04,32.23,PRP,prettymouth,him,him,0,32.04,32.23
one,one,32.509999,32.779999000000004,CD,prettymouth,one,one,0,32.509999,32.779999000000004
eye,eye,32.78,33.02,NN,prettymouth,eye,eye,0,32.78,33.02
on,on,33.02,33.15,IN,prettymouth,on,on,0,33.02,33.15
the,the,33.15,33.23,DT,prettymouth,the,the,0,33.15,33.23
side,side,33.230000000000004,33.46,NN,prettymouth,side,side,0,33.230000000000004,33.46
of,of,33.46,33.58,IN,prettymouth,of,of,0,33.46,33.58
the,the,33.58,33.66,DT,prettymouth,the,the,0,33.58,33.66
light,light,33.66,33.97,NN,prettymouth,light,light,0,33.66,33.97
closed,closed,34.0,34.36,VBD,prettymouth,closed,closed,0,34.0,34.36
tight,tight,34.41,34.76,JJ,prettymouth,tight,tight,0,34.41,34.76
her,her,35.199999,35.379999,PRP$,prettymouth,her,her,0,35.199999,35.379999
open,open,35.379999,35.719999,JJ,prettymouth,open,open,0,35.379999,35.719999
eye,eye,35.719999,35.889999,NN,prettymouth,eye,eye,0,35.719999,35.889999
very,very,35.889999,36.259999,RB,prettymouth,very,very,0,35.889999,36.259999
however,however,36.260000000000005,36.71000000000001,RB,prettymouth,however,however,0,36.260000000000005,36.71000000000001
disingenuously,<unk>,37.11,37.7,RB,prettymouth,disingenuously,disingenuously,0,37.11,37.7
large,large,38.18,38.67,JJ,prettymouth,large,large,0,38.18,38.67
and,and,38.98,39.18,CC,prettymouth,and,and,0,38.98,39.18
so,so,39.18,39.39,RB,prettymouth,so,so,0,39.18,39.39
blue,blue,39.39,39.71,JJ,prettymouth,blue,blue,0,39.39,39.71
as,as,39.71,39.85,IN,prettymouth,a,as,0,39.71,39.85
to,to,39.85,39.97,TO,prettymouth,to,to,0,39.85,39.97
appear,appear,39.97,40.36,VB,prettymouth,appear,appear,0,39.97,40.36
almost,almost,40.38,40.84,RB,prettymouth,almost,almost,0,40.38,40.84
violet,violet,40.85,41.36,IN,prettymouth,violet,violet,0,40.85,41.36
The,the,42.22,42.34,DT,prettymouth,the,the,0,42.22,42.34
gray,gray,42.34,42.580000000000005,JJ,prettymouth,gray,gray,0,42.34,42.580000000000005
haired,haired,42.58,42.82,JJ,prettymouth,haired,haired,0,42.58,42.82
man,man,42.82,43.08,NN,prettymouth,man,man,0,42.82,43.08
asked,asked,43.11,43.44,VBD,prettymouth,asked,asked,0,43.11,43.44
